EstType,Parameter,Estimate,StdErr,tValue,Probt,DF,ess
SUREstim,bfoliage,1.35844673353825,0.0562168311855,24.1644131284379,5.5461795747268E-36,71.4444444444444,Black Ash
SUREstim,awood,0.37430357167894,0.05728291740424,6.53429658684218,6.530018210916E-9,76.4444444444444,Black Cherry
SUREstim,bwood,1.94058488139043,0.04719028195132,41.122553228058,1.1084784375739E-53,76.4444444444444,Black Cherry
SUREstim,abark,0.06793292414391,0.02039039184743,3.33161445116993,0.00133526541815,76.4444444444444,Black Cherry
SUREstim,bbark,1.83774118285627,0.08827898964417,20.8174242848006,3.963025541566E-33,76.4444444444444,Black Cherry
SUREstim,abranche,0.0796057164957,0.01084288657768,7.34174575426879,1.9824028103649E-10,76.4444444444444,Black Cherry
SUREstim,bbranche,2.01032996655101,0.04827133005507,41.6464589696893,4.4096733136064E-54,76.4444444444444,Black Cherry
SUREstim,afoliage,0.08399292601712,0.00533108308179,15.7553211474011,1.1882369933341E-25,76.4444444444444,Black Cherry
SUREstim,bfoliage,1.23187803643139,0.02475693188749,49.7589136662528,9.4684043774867E-60,76.4444444444444,Black Cherry
SUREstim,awood,0.04772281810326,0.00102842041097,46.4039974253867,2.5878464324199E-294,1532.44444444444,Black Spruce
SUREstim,bwood,2.51470344441149,0.00752648119415,334.114093896044,0,1532.44444444444,Black Spruce
SUREstim,abark,0.01533231397437,0.00060507166067,25.3396663085499,1.3357071557822E-118,1532.44444444444,Black Spruce
SUREstim,bbark,2.24293031278215,0.01389947280372,161.368013337967,0,1532.44444444444,Black Spruce
SUREstim,abranche,0.02783337460994,0.00193595169402,14.3771018129594,4.6295024359499E-44,1532.44444444444,Black Spruce
SUREstim,bbranche,2.0838688140335,0.02528689393102,82.4090463509538,0,1532.44444444444,Black Spruce
SUREstim,afoliage,0.16475019462093,0.00880214848314,18.7170433373707,1.4614512385015E-70,1532.44444444444,Black Spruce
SUREstim,bfoliage,1.41433468244878,0.02082289633794,67.9220920805199,0,1532.44444444444,Black Spruce
SUREstim,awood,0.06186297099959,0.00303323435627,20.3950515302725,9.7067221430834E-54,233.444444444444,Eastern Hemlock
SUREstim,bwood,2.38210734285118,0.01500213319924,158.784574914398,1.8322265233788E-239,233.444444444444,Eastern Hemlock
SUREstim,abark,0.01393785407523,0.00099326377766,14.0323793020839,7.8333422212096E-33,233.444444444444,Eastern Hemlock
SUREstim,bbark,2.32817916672057,0.02102522083696,110.732685510107,1.778860509525E-203,233.444444444444,Eastern Hemlock
SUREstim,abranche,0.02167423043681,0.00305866198993,7.08618033249897,1.6250189418857E-11,233.444444444444,Eastern Hemlock
SUREstim,bbranche,2.26529516705291,0.04204337157458,53.8799597228822,1.5949938593366E-133,233.444444444444,Eastern Hemlock
SUREstim,afoliage,0.07756121460075,0.00690182861062,11.2377775480152,1.0701137515069E-23,233.444444444444,Eastern Hemlock
SUREstim,bfoliage,1.69951677147658,0.02924126129923,58.1205015093201,1.1631010174075E-140,233.444444444444,Eastern Hemlock
SUREstim,awood,0.12767365576641,0.01260884628243,10.1257206969301,2.3760027323154E-11,31.4444444444444,Eastern Red Cedar
SUREstim,bwood,1.97781461035392,0.03202267398112,61.762943704195,5.0520017533496E-34,31.4444444444444,Eastern Red Cedar
SUREstim,abark,0.03766514322269,0.00760049723157,4.95561567554266,0.00002439033028,31.4444444444444,Eastern Red Cedar
SUREstim,bbark,1.60637324355488,0.07068531091637,22.7257010364633,6.8596788701071E-21,31.4444444444444,Eastern Red Cedar
SUREstim,abranche,0.02538226417013,0.00727782497008,3.48761673638006,0.00148137772241,31.4444444444444,Eastern Red Cedar
