row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col33;Col34;Col35
11;ldhp*sdom;;4OUEST;;;-0.0069481662884443000000000;-0.0000750142231512000000000;0.0000014802840149000000000;0.0000736584244560000000000;0.0096743608868954000000000;0.0093720507334659000000000;0.0092665384689505000000000;0.0086741823994125000000000;0.0088148434665764000000000;0.0080760960287621000000000;0.0084620611035128000000000;0.0075966586136935000000000;0.0075310971951470000000000;-0.0001479574419835000000000;-0.0000858525328020000000000;-0.0000259146762529000000000;-0.0002353259632660000000000;-0.0002956454638130000000000;0.0000776027683273000000000;0.0000298677125766000000000;0.0000726498732836000000000;0.0002068602210829000000000;0.0002310901244304000000000;0.0004873560309978000000000;0.0000289091411169000000000;0.0000010344210640000000000;-0.0000388116316872000000000;-0.0000202874122047000000000;0.0004896834556935000000000;0.0001361507920675000000000;-0.0004615689283850000000000;0.0000156921469557000000000;0.0000072324747510000000000
12;ldhp*sdom;;5EST;;;-0.0068551108290031000000000;-0.0000095042815958000000000;-0.0000010055686798000000000;0.0000332322135159000000000;0.0087097649480945000000000;0.0085227588977411000000000;0.0084254081354850000000000;0.0080082954141353000000000;0.0080786300024858000000000;0.0077532237231680000000000;0.0075966586136935000000000;0.0078098099522429000000000;0.0073418951843198000000000;-0.0000173801212783000000000;0.0000483840347736000000000;0.0000105586848529000000000;-0.0000162543934525000000000;-0.0000001298123870000000000;-0.0001126514221324000000000;-0.0001440873643832000000000;-0.0001621814211216000000000;0.0000146248416995000000000;0.0001581961465966000000000;-0.0001395199254818000000000;-0.0000663015537624000000000;0.0000420342962918000000000;0.0001154019825558000000000;0.0000080894971002000000000;0.0004736246073956000000000;-0.0000165572552684000000000;-0.0003453406668442000000000;0.0000040062186619000000000;-0.0000098237391187000000000
13;ldhp*sdom;;5OUEST;;;-0.0067633342413669000000000;-0.0000504915302134000000000;0.0000011215048506000000000;0.0000561532015766000000000;0.0085697565325756000000000;0.0083933392901574000000000;0.0083125613039889000000000;0.0079096160408623000000000;0.0079813796522629000000000;0.0076997817744744000000000;0.0075310971951470000000000;0.0073418951843198000000000;0.0080765551698061000000000;-0.0000400822614755000000000;0.0000199093162012000000000;-0.0001413230767995000000000;-0.0000360487740821000000000;-0.0000215104940992000000000;-0.0001724511729531000000000;-0.0001479815583471000000000;0.0001540911995842000000000;-0.0001605794908226000000000;0.0001235025770665000000000;0.0002128326930492000000000;-0.0001062293398834000000000;0.0000722157455993000000000;0.0000743964408594000000000;-0.0000139840029998000000000;0.0003934352630036000000000;0.0000336189931201000000000;-0.0003226562555810000000000;0.0000132562265282000000000;0.0000026352208200000000000
15;ldhp*vp;;;FE3;;-0.0083425915078516000000000;-0.0001428406955987000000000;0.0000020229233184000000000;0.0001367685853786000000000;-0.0004349410697984000000000;0.0000836031201543000000000;-0.0000948577561062000000000;0.0002540706686924000000000;-0.0002281610561107000000000;-0.0000777207969271000000000;-0.0001479574419835000000000;-0.0000173801212783000000000;-0.0000400822614755000000000;0.0099372686144621000000000;0.0086946296663556000000000;0.0086128094048189000000000;0.0085771692584780000000000;0.0086351041159190000000000;0.0085914296609003000000000;0.0085775788839851000000000;0.0086029366511443000000000;0.0085614454093211000000000;0.0084260125593263000000000;0.0085092733257473000000000;0.0085673019718326000000000;0.0086051443534932000000000;0.0086782727822717000000000;0.0085953035151448000000000;0.0085874954016537000000000;0.0085778519111771000000000;0.0000287876648137000000000;-0.0000184699053312000000000;0.0000132933484578000000000
16;ldhp*vp;;;FE6;;-0.0084286147241061000000000;-0.0000914280499381000000000;0.0000014498717627000000000;0.0001004970250597000000000;-0.0005130801802621000000000;0.0002706974473656000000000;-0.0004002662874809000000000;0.0004193666263099000000000;-0.0004315469242594000000000;0.0000761033136100000000000;-0.0000858525328020000000000;0.0000483840347736000000000;0.0000199093162012000000000;0.0086946296663556000000000;0.0159525900586778000000000;0.0087352013284840000000000;0.0086511879623484000000000;0.0086930225422641000000000;0.0084912052542263000000000;0.0085375993025341000000000;0.0085128337888106000000000;0.0084772303381943000000000;0.0084001133960843000000000;0.0084915081402237000000000;0.0084990374039482000000000;0.0086442907571475000000000;0.0088965345526903000000000;0.0086091586594981000000000;0.0085678431460696000000000;0.0085493665881660000000000;0.0000045680617442000000000;0.0000034623823853000000000;0.0000035134961695000000000
17;ldhp*vp;;;MF1;;-0.0084772034131313000000000;-0.0000803639776567000000000;0.0000018508571319000000000;0.0000510711275425000000000;-0.0001638120966509000000000;0.0002657262335443000000000;-0.0002148340518517000000000;0.0004243557194606000000000;-0.0001459757555123000000000;-0.0000213895295722000000000;-0.0000259146762529000000000;0.0000105586848529000000000;-0.0001413230767995000000000;0.0086128094048189000000000;0.0087352013284840000000000;0.0147668911814056000000000;0.0085558864344277000000000;0.0086121670226017000000000;0.0086313753357402000000000;0.0086260017475849000000000;0.0086105637435413000000000;0.0086307314029907000000000;0.0084379065454784000000000;0.0085683801295160000000000;0.0085878317978952000000000;0.0086263720890682000000000;0.0086861111866224000000000;0.0086080395392811000000000;0.0086319752399570000000000;0.0086149910799308000000000;0.0000111719000331000000000;-0.0000074385817314000000000;-0.0000052571286142000000000
18;ldhp*vp;;;MJ1;;-0.0083099986285119000000000;-0.0001167814510714000000000;0.0000017868694234000000000;0.0000998396246435000000000;-0.0003622490910162000000000;-0.0000938040584646000000000;-0.0001609888166281000000000;0.0000791447225784000000000;-0.0002944520346765000000000;-0.0000037974551384000000000;-0.0002353259632660000000000;-0.0000162543934525000000000;-0.0000360487740821000000000;0.0085771692584780000000000;0.0086511879623484000000000;0.0085558864344277000000000;0.0098377847867531000000000;0.0086322538646288000000000;0.0084485437240210000000000;0.0085089466563599000000000;0.0085333283437560000000000;0.0084227156431281000000000;0.0083776431708956000000000;0.0084262881754733000000000;0.0084384308764763000000000;0.0085696771188728000000000;0.0086377852627526000000000;0.0085183744367023000000000;0.0085466092651826000000000;0.0085201063781923000000000;0.0000375674731810000000000;-0.0000089895202875000000000;0.0000059684829209000000000
19;ldhp*vp;;;MJ2;;-0.0084704406691760000000000;-0.0000885472175874000000000;0.0000016906018268000000000;0.0000706280713185000000000;-0.0003372671165928000000000;0.0000382924567905000000000;-0.0000533299441352000000000;0.0002755126078600000000000;-0.0002101099199404000000000;0.0000309673438483000000000;-0.0002956454638130000000000;-0.0000001298123870000000000;-0.0000215104940992000000000;0.0086351041159190000000000;0.0086930225422641000000000;0.0086121670226017000000000;0.0086322538646288000000000;0.0091824791421742000000000;0.0085359042213486000000000;0.0086156108337442000000000;0.0086276352453888000000000;0.0085158847164187000000000;0.0083949353977612000000000;0.0085343789219709000000000;0.0085162630198427000000000;0.0086774205334700000000000;0.0086934439191038000000000;0.0086030498285385000000000;0.0086656943325393000000000;0.0086281959405265000000000;0.0000334410658567000000000;0.0000019854397107000000000;-0.0000078060069283000000000
20;ldhp*vp;;;MS1;;-0.0085133474657617000000000;-0.0001318166498566000000000;0.0000025734876439000000000;0.0000891272355538000000000;0.0000710783098982000000000;0.0003774811811864000000000;0.0002733272016579000000000;0.0005678923691961000000000;0.0001716486186471000000000;-0.0003455101333467000000000;0.0000776027683273000000000;-0.0001126514221324000000000;-0.0001724511729531000000000;0.0085914296609003000000000;0.0084912052542263000000000;0.0086313753357402000000000;0.0084485437240210000000000;0.0085359042213486000000000;0.0095669224898756000000000;0.0088091112268611000000000;0.0088774132483719000000000;0.0089833120974029000000000;0.0085375076705952000000000;0.0087906464213332000000000;0.0089057839883910000000000;0.0086536721395597000000000;0.0084930284084851000000000;0.0087328636795471000000000;0.0087319386882846000000000;0.0087674867777974000000000;0.0000227285938457000000000;0.0000056405416276000000000;-0.0000063792712163000000000
21;ldhp*vp;;;MS2;;-0.0088507202534359000000000;-0.0000224196677074000000000;0.0000018167975573000000000;0.0000010538385522000000000;0.0000167881127073000000000;0.0003304941204471000000000;0.0002555148704030000000000;0.0005616524009848000000000;0.0001352854964216000000000;-0.0000094568162588000000000;0.0000298677125766000000000;-0.0001440873643832000000000;-0.0001479815583471000000000;0.0085775788839851000000000;0.0085375993025341000000000;0.0086260017475849000000000;0.0085089466563599000000000;0.0086156108337442000000000;0.0088091112268611000000000;0.0090769033378565000000000;0.0090033999871392000000000;0.0087994656792909000000000;0.0084392446782227000000000;0.0088980078573750000000000;0.0087152450083931000000000;0.0087176027428700000000000;0.0085374655113225000000000;0.0086612502014453000000000;0.0088227245502657000000000;0.0088154039983580000000000;0.0000501361760140000000000;0.0000109662776478000000000;-0.0000139047083753000000000
22;ldhp*vp;;;MS4;;-0.0094797951078728000000000;-0.0000314122647754000000000;0.0000001212672996000000000;0.0000453590722151000000000;-0.0008376555533104000000000;-0.0003734877002266000000000;-0.0003782847457999000000000;0.0002843442818313000000000;-0.0001930528104565000000000;-0.0000601356730467000000000;0.0000726498732836000000000;-0.0001621814211216000000000;0.0001540911995842000000000;0.0086029366511443000000000;0.0085128337888106000000000;0.0086105637435413000000000;0.0085333283437560000000000;0.0086276352453888000000000;0.0088774132483719000000000;0.0090033999871392000000000;0.0332600731229473000000000;0.0087596426194144000000000;0.0083164883631366000000000;0.0089712181436129000000000;0.0087955680843291000000000;0.0087402849143555000000000;0.0084755129783512000000000;0.0086738239858613000000000;0.0089797287156993000000000;0.0089024991863082000000000;0.0003291892991473000000000;0.0000083091012193000000000;-0.0000121084871473000000000
23;ldhp*vp;;;MS6;;-0.0088749711847352000000000;0.0000308728457940000000000;0.0000021867046930000000000;-0.0000353306746659000000000;0.0003628441974333000000000;0.0006298797357560000000000;0.0005251809304838000000000;0.0007596188746297000000000;0.0003675020765191000000000;-0.0001941560777805000000000;0.0002068602210829000000000;0.0000146248416995000000000;-0.0001605794908226000000000;0.0085614454093211000000000;0.0084772303381943000000000;0.0086307314029907000000000;0.0084227156431281000000000;0.0085158847164187000000000;0.0089833120974029000000000;0.0087994656792909000000000;0.0087596426194144000000000;0.0111312786663626000000000;0.0085513613968080000000000;0.0087998356149005000000000;0.0088760835779039000000000;0.0086598206668381000000000;0.0084795033245123000000000;0.0087113585745033000000000;0.0087392198617899000000000;0.0087687179466776000000000;-0.0000246830210499000000000;0.0000046191849717000000000;-0.0000124451245848000000000
