Row;Effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col43;Col44;Col46
22;ldhp*vp;;;MS2;;-0.017434713;2.56463E-05;1.71252E-06;-1.77323E-05;0.003608918;0.000110793;0.000778046;1.80942E-05;-0.000112235;-0.000105571;-0.000219401;-0.000202121;3.6029E-05;0.016891641;0.017080598;0.017013899;0.01717184;0.017015867;0.017321857;0.017632717;0.01789544;0.017615786;0.01761808;0.017569645;0.017183133;0.017334521;0.01727135;0.017612509;0.017322386;-8.24676E-08;-0.000279797;-0.000365562;-0.000254423;-0.0004366;0.001126745;-0.000137378;-0.000464091;-0.000285556;-0.000204872;3.71522E-05;-2.20822E-06;7.61596E-05
23;ldhp*vp;;;MS6;;-0.017426225;3.33285E-05;2.19585E-06;-2.95385E-05;0.004078135;0.000538847;0.001062909;0.000389716;-0.000793404;0.000174067;-0.000232642;-0.000201891;-2.63741E-05;0.01690897;0.017229441;0.017009908;0.017200609;0.016913864;0.017216575;0.018124026;0.017615786;0.021193722;0.017832728;0.017513953;0.017156335;0.017284527;0.017360554;0.017586485;0.017148474;1.3236E-07;-0.000338212;-0.000479353;-0.00033031;-0.000341064;0.001083552;-0.000161721;-0.000280873;-0.000204878;-2.91306E-05;3.82756E-05;2.2158E-06;-1.54285E-05
24;ldhp*vp;;;RB1;;-0.019779938;-0.000107876;9.46955E-07;8.93979E-05;0.003745284;-0.000494121;0.000474292;-0.000268726;-0.000329765;-0.000245034;-0.000895176;-0.000289226;-8.68339E-05;0.017119998;0.017226753;0.017140895;0.01797064;0.016919002;0.017314966;0.017864851;0.01761808;0.017832728;0.038834656;0.017479478;0.01902858;0.017402529;0.01740355;0.017589574;0.019010625;1.92727E-06;0.001699681;0.001574013;0.001678701;0.000683636;0.002969377;0.001674897;0.000568077;-0.000176606;-8.1491E-05;4.56515E-05;-2.24261E-05;0.000166857
25;ldhp*vp;;;RE2;;-0.018702886;0.000129817;2.98726E-06;-8.79025E-05;0.003970301;0.000522048;0.001262706;0.000460708;0.000602002;0.000451215;0.000603187;0.000455675;0.000523811;0.016861885;0.017018603;0.017017558;0.017187125;0.017019004;0.01734635;0.01749402;0.017569645;0.017513953;0.017479478;0.020263084;0.017250028;0.017360986;0.017309166;0.017784818;0.017415391;4.69011E-07;-0.000485624;-0.000542413;-0.000249141;-0.00037767;0.001150841;-0.000183888;-0.000330473;-0.000206408;-0.000272568;4.21536E-05;1.11163E-05;0.00018825
26;ldhp*vp;;;RE3;;-0.046124342;1.47893E-05;6.89895E-07;-6.02931E-06;0.003261349;2.90822E-05;0.000506779;-0.000289725;4.6003E-05;-0.000229982;-0.000189739;-6.84714E-05;4.0067E-05;0.016723976;0.016851475;0.016863802;0.024555318;0.016948831;0.017294124;0.017418716;0.017183133;0.017156335;0.01902858;0.017250028;0.052486555;0.017196434;0.01721614;0.017254748;0.041510893;1.06934E-06;0.028272934;0.028290868;0.028335458;0.028100291;0.029164053;0.028221882;0.028227574;-0.000120396;0.005220681;3.64248E-05;5.14864E-06;0.000129105
27;ldhp*vp;;;RP1;;-0.016904319;-0.000122751;-1.02807E-06;0.000123421;0.003905896;-0.000318952;0.000905533;-0.000559227;0.000211852;2.78568E-05;0.000126423;0.000105271;1.87635E-05;0.017495116;0.017283656;0.01771567;0.017617004;0.017109735;0.01743743;0.01728122;0.017334521;0.017284527;0.017402529;0.017360986;0.017196434;0.024658149;0.017300902;0.017340359;0.017278864;-3.63886E-07;-0.000301043;-0.000333538;-3.88294E-05;-0.000188547;0.001439015;7.48111E-05;-5.96474E-05;-0.000283458;-0.000103438;1.81785E-05;6.19065E-06;-5.74532E-05
28;ldhp*vp;;;RS1;;-0.01748713;-3.43013E-05;-1.06147E-06;3.8066E-05;0.003968564;9.86087E-05;0.000871299;0.000177787;9.23988E-05;0.000145353;0.000201625;0.000164755;0.000238665;0.01696448;0.017000177;0.017045118;0.017241653;0.016899271;0.017166156;0.017339121;0.01727135;0.017360554;0.01740355;0.017309166;0.01721614;0.017300902;0.02049837;0.017320493;0.017284945;6.61548E-08;-5.74225E-05;-9.82552E-05;3.29615E-05;-8.83476E-05;0.000920247;3.32985E-05;-0.000268256;-0.000246764;-0.000131545;2.1162E-05;-2.0641E-05;2.4191E-05
29;ldhp*vp;;;RS2;;-0.017977864;5.86882E-05;2.04985E-06;-5.23647E-05;0.003878583;0.000272345;0.000995482;0.000224435;0.000182539;0.000107358;0.000133831;1.28234E-05;-0.000194823;0.016854421;0.017029586;0.016985271;0.01720915;0.017006489;0.017337745;0.017583067;0.017612509;0.017586485;0.017589574;0.017784818;0.017254748;0.017340359;0.017320493;0.01859474;0.017429911;2.22541E-07;-0.000333226;-0.000525456;-0.000226117;-0.000371529;0.000863394;-0.000224829;-0.000498746;-0.000299741;-0.000259699;3.13752E-05;-5.45935E-06;0.000129824
30;ldhp*vp;;;RS3;;-0.044784959;4.659E-05;2.36444E-06;-3.74859E-05;0.003212126;-0.000184562;0.000457656;-0.00043556;8.75321E-05;-0.000345525;-0.000188028;-8.68013E-05;-7.90145E-05;0.016758736;0.01689138;0.016912577;0.024449533;0.017062433;0.017417169;0.01744094;0.017322386;0.017148474;0.019010625;0.017415391;0.041510893;0.017278864;0.017284945;0.017429911;0.045790181;6.54871E-07;0.026882693;0.026863446;0.026949544;0.02660507;0.027677338;0.026824682;0.026742799;-0.000320473;0.004286543;3.66816E-05;-2.46797E-06;0.000167572
32;ldhp*alt;;;;;-7.39551E-06;1.26179E-07;-2.18559E-09;-8.02971E-08;-4.26751E-06;-5.08528E-06;-4.76505E-06;-4.43904E-06;-2.49287E-06;-3.37021E-06;-3.56454E-06;-2.15547E-06;2.46063E-07;-4.02976E-07;-3.16455E-07;-5.49945E-07;4.30911E-07;-3.96828E-07;9.51538E-08;-7.17091E-08;-8.24676E-08;1.3236E-07;1.92727E-06;4.69011E-07;1.06934E-06;-3.63886E-07;6.61548E-08;2.22541E-07;6.54871E-07;1.44503E-08;1.21968E-06;1.49788E-06;1.08199E-06;1.67577E-06;1.02297E-06;8.49222E-07;1.56008E-06;6.13214E-07;4.33149E-07;-2.13998E-08;-5.06992E-09;1.72644E-06
