ESSENCE,DHP,GROUPE,DER,ScF1,ScF2,ScF3,ScF4,PATE,CARIE,NU,BM,AUTRE
CAC,64,AUF 24 +  ,1.127803,2.141616,7.308825,4.458266,0.8548445,48.10864,16,5,15,0
CAC,66,AUF 24 +  ,0.9156764,1.72437,6.618079,4.131147,0.817293,48.79343,17,5,15,0
CAC,68,AUF 24 +  ,0.7225197,1.329116,5.895661,3.844354,0.7835899,49.42476,18,5,15,0
CAC,70,AUF 24 +  ,0.5537024,0.9791179,5.156244,3.591897,0.7530826,49.96596,19,5,15,0
CAC,72,AUF 24 +  ,0.4117928,0.688368,4.416979,3.367761,0.7249998,50.3901,20,5,15,0
CAC,74,AUF 24 +  ,0.2970433,0.4614851,3.698592,3.167333,0.6987619,49.67678,22,5,15,0
CAC,76,AUF 24 +  ,0.2077516,0.2949167,3.022511,2.987026,0.6739329,49.81386,23,5,15,0
CAC,78,AUF 24 +  ,0.1409355,0.179767,2.409245,2.825727,0.6505816,49.79374,24,5,15,0
CAC,80,AUF 24 +  ,0.09279032,0.1046115,1.87321,2.682836,0.6288761,49.61768,25,5,15,0
CAC,82,AUF 24 +  ,0.05929476,0.0581392,1.420457,2.556381,0.6086397,50.29709,25,5,15,0
CAC,84,AUF 24 +  ,0.03677762,0.03086842,1.050719,2.444671,0.5897207,50.84724,25,5,15,0
CAC,86,AUF 24 +  ,0.02214214,0.01566081,0.7584731,2.346257,0.5719889,51.28548,25,5,15,0
CAC,88,AUF 24 +  ,0.01294047,0.007593603,0.5346158,2.259989,0.5553556,51.62951,25,5,15,0
CAC,90,AUF 24 +  ,0.007341806,0.003519452,0.3681893,2.184931,0.539755,51.89626,25,5,15,0
CAC,92,AUF 24 +  ,0.007019368,0.003364885,0.3520191,2.088973,0.5160499,52.03257,25,5,15,0
CAC,94,AUF 24 +  ,0.006717217,0.003220042,0.3368664,1.999053,0.4938365,52.16031,25,5,15,0
CAC,96,AUF 24 +  ,0.006433744,0.003084153,0.3226503,1.914691,0.4729961,52.28014,25,5,15,0
CAC,98,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,100,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,102,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,104,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,106,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,108,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,110,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,112,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,114,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,116,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,118,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,120,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,122,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,124,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,126,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,128,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,130,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,132,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,134,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,136,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,138,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,140,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,142,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,144,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,146,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,148,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,150,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,152,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,154,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,156,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,158,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAC,160,AUF 24 +  ,0.006167488,0.002956518,0.3092976,1.835452,0.4534214,52.3927,25,5,15,0
CAF,10,Tous FD 10-22 ,0,0,0,0,0,60,1,39,0,0
CAF,12,Tous FD 10-22 ,0,0,0,0,0,78,1,21,0,0
CAF,14,Tous FD 10-22 ,0,0,0,0,0,80,1,15,4,0
CAF,16,Tous FD 10-22 ,0,0,0,0,0,80,1,12,7,0
CAF,18,Tous FD 10-22 ,0,0,0,0,0,80,1,10,9,0
CAF,20,Tous FD 10-22 ,0,0,0,0,0,80,1,9,10,0
CAF,22,Tous FD 10-22 ,0,0,0,0,0,80,1,9,10,0
CAF,24,AUF 24 +  ,0.369673,0.04070443,4.936518,32.87616,5.176368,29.60057,1,9,17,0
CAF,26,AUF 24 +  ,0.4783325,0.07069683,5.600336,32.87616,4.341733,28.63274,2,9,17,0
CAF,28,AUF 24 +  ,0.6112765,0.1194852,6.308047,32.87616,3.711318,28.37371,2,9,17,0
CAF,30,AUF 24 +  ,0.7687896,0.1957905,7.031725,28.12662,3.222135,31.65494,3,9,17,0
CAF,32,AUF 24 +  ,0.949098,0.3101482,7.742014,24.31018,2.83404,34.85452,3,9,17,0
CAF,34,AUF 24 +  ,1.146985,0.4734081,8.403649,21.16979,2.518266,37.2879,4,8,17,0
CAF,36,AUF 24 +  ,1.354757,0.6947109,8.988617,18.54342,2.256642,39.16185,4,8,17,0
CAF,38,AUF 24 +  ,1.56356,0.9790925,9.482936,16.33168,2.03816,39.60457,5,8,17,0
CAF,40,AUF 24 +  ,1.763038,1.324074,9.878349,14.45677,1.854267,41.7235,6,7,16,0
CAF,42,AUF 24 +  ,1.942219,1.717258,10.17186,12.85781,1.698311,42.61255,6,7,16,0
CAF,44,AUF 24 +  ,2.090512,2.135834,10.36454,11.48682,1.565104,42.35719,7,7,16,0
CAF,46,AUF 24 +  ,2.198048,2.547931,10.45705,10.30281,1.450153,42.04401,8,7,16,0
CAF,48,AUF 24 +  ,2.256828,2.916992,10.4502,9.272586,1.349802,42.75359,8,7,16,0
CAF,50,AUF 24 +  ,2.262335,3.208454,10.34811,8.372328,1.261518,44.54725,9,6,15,0
CAF,52,AUF 24 +  ,2.213528,3.394593,10.15509,7.582955,1.183317,44.47052,10,6,15,0
CAF,54,AUF 24 +  ,2.112961,3.458095,9.875205,6.888923,1.113626,44.55119,11,6,15,0
CAF,56,AUF 24 +  ,1.966041,3.392694,9.509418,6.275521,1.050871,44.80545,12,6,15,0
CAF,58,AUF 24 +  ,1.781893,3.205378,9.06191,5.732484,0.9940798,45.22425,13,6,15,0
CAF,60,AUF 24 +  ,1.572438,2.915309,8.540601,5.252964,0.9427915,46.7759,14,5,15,0
CAF,62,AUF 24 +  ,1.350323,2.549875,7.9533,4.830304,0.8965331,47.41967,15,5,15,0
CAF,64,AUF 24 +  ,1.127803,2.141616,7.308825,4.458266,0.8548445,48.10864,16,5,15,0
CAF,66,AUF 24 +  ,0.9156764,1.72437,6.618079,4.131147,0.817293,48.79343,17,5,15,0
CAF,68,AUF 24 +  ,0.7225197,1.329116,5.895661,3.844354,0.7835899,49.42476,18,5,15,0
CAF,70,AUF 24 +  ,0.5537024,0.9791179,5.156244,3.591897,0.7530826,49.96596,19,5,15,0
CAF,72,AUF 24 +  ,0.4117928,0.688368,4.416979,3.367761,0.7249998,50.3901,20,5,15,0
CAF,74,AUF 24 +  ,0.2970433,0.4614851,3.698592,3.167333,0.6987619,49.67678,22,5,15,0
CAF,76,AUF 24 +  ,0.2077516,0.2949167,3.022511,2.987026,0.6739329,49.81386,23,5,15,0
CAF,78,AUF 24 +  ,0.1409355,0.179767,2.409245,2.825727,0.6505816,49.79374,24,5,15,0
CAF,80,AUF 24 +  ,0.09279032,0.1046115,1.87321,2.682836,0.6288761,49.61768,25,5,15,0
CAF,82,AUF 24 +  ,0.05929476,0.0581392,1.420457,2.556381,0.6086397,50.29709,25,5,15,0
