ModelID;ParameterEstimate
3;3.90780070791028
3;3.85598646472428
3;3.86768219477179
3;3.78928663472334
3;3.78373314557076
3;3.9617552037635
3;3.87995013647684
3;3.841840318816
3;4.04641230170986
3;0
3;0
3;0
3;0
3;1.06391509158612
3;0
3;0
3;0
3;0
3;0.97623129140616
3;0.95290559283121
3;0
3;0
3;0
3;0
3;0.95117804483877
3;0.9093494932135
3;0.89603486860488
3;0
3;0
3;0
3;0
3;1.00398223152243
3;0.95836699945427
3;0.93393350791256
3;1.005022278945
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.49914413296386
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.44506693809261
3;0.44880286802371
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.41614302214381
3;0.40166707271359
3;0.38405743904614
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.4313871586498
3;0.41628620215575
3;0.38972802211164
3;0.4128115641431
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.82451874529181
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.71810805251825
3;0.72124289623317
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.65672196339293
3;0.63079187410786
3;0.59060667171762
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.69140257221231
3;0.66311751610646
3;0.60751135780815
3;0.65956621100765
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.74693272158573
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.68503866128234
3;0.68810195127691
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.64342468264889
3;0.62737323531565
3;0.59903539226973
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.67199052353984
3;0.65402494321438
3;0.61516116880518
3;0.66191676257378
3;-1.0301693362451
3;-1.0471552459646
3;-1.0637161695855
3;-1.0807997830629
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;1.1736517373148
3;0
3;0
3;0
3;0
3;-0.0838090356016
3;-0.0894761525982
3;-0.0925780157713
3;-0.0942839798877
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.29209813244932
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00707035531188
3;-0.0000544310211
3;-0.0025835014788
3;0.00093602903399
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.18788728572135
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0586827721536
3;-0.0699052535064
3;-0.0777220119142
3;-0.0687220388416
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.24886071085691
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.1281225916122
3;-0.1353946164697
3;-0.1386239971464
3;-0.1362575553211
3;0
3;0
3;0
3;0
3;0.2622528570717
3;-0.1221965889861
3;-0.118505842364
3;-0.1163697670324
3;-0.1187067952998
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00092120955874
3;0
3;0
3;0
3;0
3;0.00486203711105
3;-0.1423101289925
3;-0.1390470041255
3;-0.1372481471652
3;-0.1401235731054
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.02440625281523
3;0
3;0
3;0
3;0
3;0.0048602753762
3;0.00535032477405
3;0
3;0
3;0
3;0
3;-0.0379099449863
3;-0.036032690457
3;-0.0349533105925
3;-0.0365948285846
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;-0.0059911071087
3;0
3;0
3;0
3;0
3;0
3;0.00173395442077
3;0
3;0
3;0
3;0
3;-0.0396700264704
3;-0.037976418778
3;-0.0369656230652
3;-0.0387312532108
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0
3;0.00039650377469
3;0
3;0
3;0
3;0
3;0
3;0.00159615296408
3;0.00160706170319
3;0
3;0
3;0
3;0
3;0
3;0
