"","sp","effect","parmEst"
"156","EPR",2,-0.0250166791021382
"157","EPR",14,65.144327291402
"158","EPR",35,-0.0174159931676975
"159","EPR",17,27.8624123924999
"160","EPR",13,-0.150338530908151
"161","EPR",3,0.143343830307855
"162","EPR",4,0.00550012875324132
"163","EPR",5,0.902321829929661
"164","EPR",7,-0.0491711898835924
"165","EPR",19,0.000831917810406528
"166","EPR",20,-0.152039712739468
"167","EPR",21,-12.4182266882356
"168","EPR",22,-1.24546747289871
"169","EPR",23,-0.766072034069452
"170","EPR",24,-13.5862425528144
"171","EPR",25,-0.740551226342626
"172","EPR",26,-11.4258500536915
"173","EPR",27,-0.444906721959703
"174","EPR",28,-0.365042740509307
"175","EPR",29,0.406617970927561
"176","EPR",30,-13.543374577391
"177","EPR",34,-0.0147414755453478
"178","ERE",1,-813.566283061974
