row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col25;Col26;Col27;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36
11;ldhp*vp;;;MF1;;-0.0063593150335463000000000;0.0000367919719007000000000;0.0000059179804727000000000;-0.0000952501277724000000000;0.0000349757148099000000000;0.0035534583986663000000000;0.0035872468474274000000000;0.0036217387472919000000000;0.0035683986925637000000000;0.0035762106050965000000000;0.0101868037216310000000000;0.0036391871732953000000000;0.0037334286041192000000000;0.0036278344353769000000000;0.0036603087366072000000000;0.0036660194340803000000000;0.0054688390344026000000000;0.0036751595335392000000000;0.0035747617548632000000000;0.0036530537767398000000000;0.0036886406593864000000000;0.0054749084995509000000000;0.0036544942742721000000000;0.0000005110119943000000000;0.0000373273337648000000000;0.0000049882258511000000000;0.0020275859195572000000000;0.0019577907337387000000000;0.0019636294283510000000000;0.0019268232005318000000000;0.0016818648972773000000000;0.0017696378863325000000000;0.0016512180265671000000000;0.0001043418449424000000000
12;ldhp*vp;;;MJ1;;-0.0040691121326678000000000;0.0000562790655642000000000;0.0000056944171135000000000;-0.0000757254413884000000000;0.0000594899942521000000000;0.0035869699974581000000000;0.0036692776437126000000000;0.0037269225645905000000000;0.0036072969773750000000000;0.0035941210921281000000000;0.0036391871732953000000000;0.0041711322542155000000000;0.0036912027011800000000000;0.0037355922879162000000000;0.0037098952777909000000000;0.0037557790147825000000000;0.0036987488215244000000000;0.0036894252700710000000000;0.0035784957307351000000000;0.0036304781398627000000000;0.0037181789633234000000000;0.0037668266164195000000000;0.0036128721132712000000000;-0.0000001260499166000000000;0.0000277919879237000000000;0.0000236727734065000000000;0.0002343616792811000000000;0.0000953710182340000000000;0.0001017878161236000000000;0.0001140097752081000000000;0.0000822531086196000000000;0.0000921629830462000000000;0.0001326405028662000000000;0.0000061509593948000000000
13;ldhp*vp;;;MJ2;;-0.0047118774676286000000000;0.0001028147381505000000000;0.0000058062134222000000000;-0.0001112475018358000000000;0.0000752990857973000000000;0.0035747940680391000000000;0.0036778752307364000000000;0.0037449453311548000000000;0.0036135134279679000000000;0.0036180539374972000000000;0.0037334286041192000000000;0.0036912027011800000000000;0.0039633983264003000000000;0.0037599031503695000000000;0.0037491000107928000000000;0.0038030808670153000000000;0.0038375923371052000000000;0.0037338643843397000000000;0.0036190997783237000000000;0.0036648213381358000000000;0.0037737970330183000000000;0.0039141856819807000000000;0.0036231588855851000000000;0.0000001804167777000000000;0.0000321367476851000000000;0.0000046785915043000000000;0.0003721972114803000000000;0.0002174068237337000000000;0.0002548351541248000000000;0.0002524259428308000000000;0.0001867994355523000000000;0.0001967256441444000000000;0.0002211648350547000000000;0.0000019933308947000000000
14;ldhp*vp;;;MS1;;-0.0040818645237861000000000;0.0001261691266390000000000;0.0000044589755674000000000;-0.0001401684873835000000000;0.0001194479382853000000000;0.0035878002338446000000000;0.0037507803493257000000000;0.0038410112556741000000000;0.0035947202998491000000000;0.0035892049483488000000000;0.0036278344353769000000000;0.0037355922879162000000000;0.0037599031503695000000000;0.0045210593291725000000000;0.0038038252469880000000000;0.0039600824068530000000000;0.0037416055048321000000000;0.0037550591179101000000000;0.0035734606850352000000000;0.0037095115867585000000000;0.0038218683522054000000000;0.0038349103212500000000000;0.0036435163643588000000000;-0.0000005271692237000000000;0.0000323512560377000000000;0.0000124817147670000000000;0.0003149201431783000000000;0.0001250747758341000000000;0.0001522643528815000000000;-0.0001725480459299000000000;0.0001204108528299000000000;0.0001528715108763000000000;0.0000843284268150000000000;-0.0000111500524921000000000
15;ldhp*vp;;;MS2;;-0.0045392961647956000000000;0.0001525303970601000000000;0.0000063717673990000000000;-0.0001537582056397000000000;0.0000811776071709000000000;0.0035906599927643000000000;0.0037020385266649000000000;0.0037792777432905000000000;0.0036276804231749000000000;0.0036303623898719000000000;0.0036603087366072000000000;0.0037098952777909000000000;0.0037491000107928000000000;0.0038038252469880000000000;0.0052953293647206000000000;0.0038428147773097000000000;0.0037099759517861000000000;0.0037579219835288000000000;0.0036187332302790000000000;0.0036712058911395000000000;0.0038010064396833000000000;0.0037972227977900000000000;0.0036386319553564000000000;0.0000000107110459000000000;0.0000432010683222000000000;0.0000019873652722000000000;0.0002165918816669000000000;0.0000794372001963000000000;0.0000963835025704000000000;0.0000829318945057000000000;0.0000647553749561000000000;0.0000754561210552000000000;0.0000775237908330000000000;-0.0000014703937217000000000
16;ldhp*vp;;;MS6;;-0.0048321343544237000000000;0.0002520289648708000000000;0.0000046797333083000000000;-0.0002366268564440000000000;0.0001224297535024000000000;0.0035884282467022000000000;0.0037547905310139000000000;0.0038604200134798000000000;0.0036288450880762000000000;0.0036370433848437000000000;0.0036660194340803000000000;0.0037557790147825000000000;0.0038030808670153000000000;0.0039600824068530000000000;0.0038428147773097000000000;0.0050378061392166000000000;0.0037750254831166000000000;0.0038070219354317000000000;0.0036319221923312000000000;0.0037267522853972000000000;0.0038758158241619000000000;0.0038740823366038000000000;0.0036533494334567000000000;-0.0000001123361993000000000;0.0000346551694807000000000;0.0000178912982552000000000;0.0003179610039605000000000;0.0001166416744567000000000;0.0001567291526858000000000;-0.0000354086394667000000000;0.0001214524161136000000000;0.0001540467609280000000000;0.0001310089475860000000000;-0.0000164109376518000000000
17;ldhp*vp;;;RC3;;-0.0084636053116663000000000;0.0002149119028071000000000;0.0000024592336894000000000;-0.0001930246843618000000000;0.0000712429040809000000000;0.0035725259896180000000000;0.0036401416492907000000000;0.0037028330292700000000000;0.0035723056878093000000000;0.0035801130997510000000000;0.0054688390344026000000000;0.0036987488215244000000000;0.0038375923371052000000000;0.0037416055048321000000000;0.0037099759517861000000000;0.0037750254831166000000000;0.0176784013076994000000000;0.0037079974425993000000000;0.0035806565836338000000000;0.0037104734252272000000000;0.0037362102424738000000000;0.0086197166523783000000000;0.0037263147678155000000000;-0.0000000003552882000000000;0.0000165788618464000000000;0.0000063719846055000000000;0.0041825035405683000000000;0.0040430125615555000000000;0.0040782429226639000000000;0.0040764415634846000000000;0.0039483921307659000000000;0.0039818898261426000000000;0.0039739653799513000000000;-0.0064773210050374000000000
18;ldhp*vp;;;RE2;;-0.0047390500003822000000000;0.0002353916250894000000000;0.0000064579133316000000000;-0.0001985677120490000000000;0.0000681414358055000000000;0.0035802953595815000000000;0.0036670646015504000000000;0.0037285524735050000000000;0.0036103878602810000000000;0.0036356407133852000000000;0.0036751595335392000000000;0.0036894252700710000000000;0.0037338643843397000000000;0.0037550591179101000000000;0.0037579219835288000000000;0.0038070219354317000000000;0.0037079974425993000000000;0.0157460769937454000000000;0.0036219913936764000000000;0.0036600193758350000000000;0.0038031366325911000000000;0.0037904045785390000000000;0.0036546134230357000000000;0.0000000838732289000000000;0.0000533613571403000000000;0.0000087921586064000000000;0.0001135232438797000000000;0.0000828487021270000000000;0.0001038929820788000000000;0.0000853707260982000000000;0.0000119578715351000000000;-0.0000280573799335000000000;0.0001513494198791000000000;0.0000028067288543000000000
19;ldhp*vp;;;RP1;;-0.0045693546268401000000000;0.0000707746101854000000000;0.0000030306826817000000000;-0.0000101212667956000000000;0.0000194722314655000000000;0.0035394010416356000000000;0.0035680283227954000000000;0.0035820260507687000000000;0.0035895462214183000000000;0.0036213797654720000000000;0.0035747617548632000000000;0.0035784957307351000000000;0.0036190997783237000000000;0.0035734606850352000000000;0.0036187332302790000000000;0.0036319221923312000000000;0.0035806565836338000000000;0.0036219913936764000000000;0.0056472279280108000000000;0.0035651666393658000000000;0.0036446520142972000000000;0.0036140549006204000000000;0.0035244783339647000000000;0.0000005971969460000000000;0.0000156501965651000000000;-0.0000070452858723000000000;-0.0000111333245056000000000;-0.0000795187173024000000000;0.0000349788033437000000000;0.0000243711815886000000000;0.0001096625713174000000000;0.0000812309805658000000000;0.0001170720751185000000000;-0.0000065528862487000000000
20;ldhp*vp;;;RS1;;-0.0043219977964600000000000;0.0000917721688694000000000;0.0000015179816183000000000;-0.0000894567730820000000000;0.0000662900270229000000000;0.0035290787579649000000000;0.0036191917869216000000000;0.0036677552615819000000000;0.0035489257839566000000000;0.0035559545053616000000000;0.0036530537767398000000000;0.0036304781398627000000000;0.0036648213381358000000000;0.0037095115867585000000000;0.0036712058911395000000000;0.0037267522853972000000000;0.0037104734252272000000000;0.0036600193758350000000000;0.0035651666393658000000000;0.0051074745739069000000000;0.0036907602382059000000000;0.0037571836149932000000000;0.0035903788362717000000000;0.0000000768566502000000000;0.0000141525397150000000000;-0.0000028368180754000000000;0.0002801240616269000000000;0.0001652865687449000000000;0.0001789241448057000000000;0.0001292400712141000000000;0.0000740720510924000000000;0.0000695912747625000000000;0.0000618039483853000000000;-0.0000136339419430000000000
21;ldhp*vp;;;RS2;;-0.0049172014941424000000000;0.0002198216090851000000000;0.0000061126913513000000000;-0.0002196767686088000000000;0.0001003158332726000000000;0.0035702801430743000000000;0.0037029403849942000000000;0.0037846020519113000000000;0.0036125078370171000000000;0.0036563232321928000000000;0.0036886406593864000000000;0.0037181789633234000000000;0.0037737970330183000000000;0.0038218683522054000000000;0.0038010064396833000000000;0.0038758158241619000000000;0.0037362102424738000000000;0.0038031366325911000000000;0.0036446520142972000000000;0.0036907602382059000000000;0.0078661497879313000000000;0.0038333399978808000000000;0.0036444322529653000000000;0.0000001438296907000000000;0.0000354019874722000000000;0.0000074003613361000000000;0.0001154261412398000000000;0.0001124278404750000000000;0.0001523012525979000000000;0.0001224675730946000000000;0.0000957908403095000000000;0.0000613368739484000000000;0.0000579388473547000000000;-0.0000101908542928000000000
22;ldhp*vp;;;RS3;;-0.0084722537825371000000000;0.0001561454864911000000000;0.0000068871364838000000000;-0.0001440515327738000000000;0.0000998141806839000000000;0.0036011296664546000000000;0.0037096091414077000000000;0.0037872883229477000000000;0.0036070441291670000000000;0.0036191735451612000000000;0.0054749084995509000000000;0.0037668266164195000000000;0.0039141856819807000000000;0.0038349103212500000000000;0.0037972227977900000000000;0.0038740823366038000000000;0.0086197166523783000000000;0.0037904045785390000000000;0.0036140549006204000000000;0.0037571836149932000000000;0.0038333399978808000000000;0.0175509903330341000000000;0.0037504486988443000000000;-0.0000000555940361000000000;0.0000373366484139000000000;0.0000209976596530000000000;0.0041172864312944000000000;0.0039470219008618000000000;0.0040084051738633000000000;0.0040004030703541000000000;0.0038241991445603000000000;0.0038826492971172000000000;0.0038715271296060000000000;-0.0038978484964900000000000
23;ldhp*vp;;;RS5;;-0.0039348082248317000000000;0.0001545982420823000000000;0.0000049183093680000000000;-0.0001466221278904000000000;0.0000197630089274000000000;0.0035775939572658000000000;0.0035941200005944000000000;0.0036263129784028000000000;0.0035690980569647000000000;0.0035525546516481000000000;0.0036544942742721000000000;0.0036128721132712000000000;0.0036231588855851000000000;0.0036435163643588000000000;0.0036386319553564000000000;0.0036533494334567000000000;0.0037263147678155000000000;0.0036546134230357000000000;0.0035244783339647000000000;0.0035903788362717000000000;0.0036444322529653000000000;0.0037504486988443000000000;0.0076567253233137000000000;-0.0000002267557814000000000;0.0000326784414039000000000;0.0000079066733716000000000;0.0001907479887686000000000;0.0001057964899563000000000;0.0000858323112646000000000;0.0000697937351212000000000;-0.0000960466657805000000000;-0.0000021400292187000000000;-0.0000593799519822000000000;-0.0001441907908561000000000
25;ldhp*ptot;;;;;-0.0000086708216491000000000;0.0000002836713616000000000;-0.0000000021803162000000000;-0.0000003816433119000000000;-0.0000001370961870000000000;-0.0000001807442020000000000;-0.0000002850759805000000000;-0.0000002632145845000000000;0.0000002529619808000000000;0.0000004040072187000000000;0.0000005110119943000000000;-0.0000001260499166000000000;0.0000001804167777000000000;-0.0000005271692237000000000;0.0000000107110459000000000;-0.0000001123361993000000000;-0.0000000003552882000000000;0.0000000838732289000000000;0.0000005971969460000000000;0.0000000768566502000000000;0.0000001438296907000000000;-0.0000000555940361000000000;-0.0000002267557814000000000;0.0000000084071646000000000;-0.0000000590786323000000000;0.0000000092048935000000000;0.0000000219772031000000000;0.0000003721967191000000000;0.0000000255725680000000000;-0.0000003625675704000000000;0.0000002676062032000000000;-0.0000001776592129000000000;-0.0000002355982603000000000;-0.0000001058342346000000000
26;ldhp*pert;INT;;;;0.0000721571683057000000000;-0.0000541525817486000000000;0.0000033754064312000000000;0.0000417061416573000000000;-0.0000039748788207000000000;0.0000280165619308000000000;0.0000270453306601000000000;0.0000243810592880000000000;0.0000405640425662000000000;0.0000303094371401000000000;0.0000373273337648000000000;0.0000277919879237000000000;0.0000321367476851000000000;0.0000323512560377000000000;0.0000432010683222000000000;0.0000346551694807000000000;0.0000165788618464000000000;0.0000533613571403000000000;0.0000156501965651000000000;0.0000141525397150000000000;0.0000354019874722000000000;0.0000373366484139000000000;0.0000326784414039000000000;-0.0000000590786323000000000;0.0002241410650616000000000;0.0000365116143510000000000;-0.0000071926984045000000000;-0.0000114935366720000000000;-0.0000159147018195000000000;-0.0000173516345243000000000;-0.0000170870936831000000000;-0.0000126623671793000000000;-0.0000020272128616000000000;0.0000242270275021000000000
27;ldhp*pert;MOY;;;;0.0000022780950062000000000;-0.0000676288609761000000000;0.0000021712953447000000000;0.0000697514312097000000000;0.0000090335477570000000000;0.0000297288834287000000000;0.0000404418743072000000000;0.0000411008327544000000000;0.0000377979217976000000000;0.0000320986768738000000000;0.0000049882258511000000000;0.0000236727734065000000000;0.0000046785915043000000000;0.0000124817147670000000000;0.0000019873652722000000000;0.0000178912982552000000000;0.0000063719846055000000000;0.0000087921586064000000000;-0.0000070452858723000000000;-0.0000028368180754000000000;0.0000074003613361000000000;0.0000209976596530000000000;0.0000079066733716000000000;0.0000000092048935000000000;0.0000365116143510000000000;0.0004388842605762000000000;-0.0000162494610640000000000;-0.0000008793109787000000000;-0.0000124920352120000000000;-0.0000371002310138000000000;-0.0000070373456460000000000;-0.0000066120920787000000000;-0.0000113070387883000000000;0.0000081936529092000000000
29;ldhp*milieu;;;;0;-0.0047829750446875000000000;0.0000321226565563000000000;-0.0000004128537877000000000;-0.0000047074638787000000000;0.0000900417319281000000000;0.0000651926945825000000000;0.0001704892207034000000000;0.0002652670079929000000000;0.0000708258995341000000000;-0.0000870659749577000000000;0.0020275859195572000000000;0.0002343616792811000000000;0.0003721972114803000000000;0.0003149201431783000000000;0.0002165918816669000000000;0.0003179610039605000000000;0.0041825035405683000000000;0.0001135232438797000000000;-0.0000111333245056000000000;0.0002801240616269000000000;0.0001154261412398000000000;0.0041172864312944000000000;0.0001907479887686000000000;0.0000000219772031000000000;-0.0000071926984045000000000;-0.0000162494610640000000000;0.0051871803590514000000000;0.0040797933100471000000000;0.0041630165284477000000000;0.0041646764549546000000000;0.0038867454498639000000000;0.0039947063492327000000000;0.0039252862148923000000000;0.0001892473405726000000000
