RealID;Mean1;Var1;Mean2;Var2;Mean3;Var3;Mean4;Var4;Mean5;Var5
16;313.3618145160539;4515.518028036094;1480.3721602520973;22102.165471965454;1781.1625075684651;29126.510931910805;110.63095480949481;238.625685169748;3883.345695140954;172575.1269933268
17;307.63771666454096;4791.312579641729;1475.2486360504145;22445.08451885874;1771.1331611713265;30751.658203532563;110.05557970009663;225.50801813636497;3870.0377696079495;171247.26665361726
18;305.4370346365701;4414.281957255505;1481.193708562717;22780.573969982244;1771.358593660093;30008.909150999745;110.45514121559546;206.79722877367055;3867.5669681920604;167993.75335496548
19;302.7110260819191;3975.3061762937673;1481.4885455696472;21676.77300019699;1770.3278981227568;29643.288891569937;110.84086783144903;182.3677797341634;3858.594938910492;165032.72385317908
20;294.17456931005154;5065.685027962825;1471.6012741648594;22467.854616249835;1767.9514141186496;29401.914855556253;112.0261589453524;199.2804864018275;3865.459315475666;158065.047492734
21;288.1728968152844;5508.890230569154;1460.0226109218086;24436.689157025714;1769.5126843433047;29088.030315149208;111.0389300379204;205.82513234301058;3871.405232762052;155632.3480261402
22;283.6046561331441;5515.792429906507;1462.723840813146;23749.721201709373;1771.3266919546738;28624.643423472247;110.95145791514335;175.8942937323642;3873.594529994123;154184.8688021049
23;287.17189892545866;5362.352018226147;1458.9188846406844;22933.466957422428;1774.2425455626076;28365.191572716572;112.57919333352419;207.50365787301897;3870.9566768408026;152257.12476485776
24;282.66646285223214;5448.162548135268;1458.0705759778623;22076.790503605775;1779.3802925353914;28888.203757536583;112.56386661278648;182.57576100083185;3867.051501202211;152328.2648311015
25;283.0910528218313;4979.744457587723;1461.7485315131185;22226.339300884774;1781.1602268213135;28682.749665306255;112.34432145503717;174.94661462770222;3868.3038918540765;150820.97135948838
26;284.608409656255;4671.138302656485;1469.2271174804805;22939.855526340318;1770.64667163113;31142.470813799184;111.84811432613621;156.87984428966467;3876.0762172099007;151942.4921138177
27;290.86246973618233;5304.475128531512;1468.0696637162475;22228.37527740674;1762.3757279814731;32275.69847240195;112.79470016934815;167.66942249740228;3862.6774926880157;154629.84131854735
28;287.34693543895304;5402.433235960442;1470.0230166903877;22052.122327688045;1765.7107147389952;32369.913135006136;110.90812724255571;262.90032921414223;3872.232835369103;156488.76863257168
29;285.74230555632215;5242.893698114021;1463.528329916329;23180.083690844294;1770.2346303529516;32443.330531995;110.35485485104893;259.83028209731583;3862.0232051441835;157285.85402500353
30;284.5831700380414;4909.719089794072;1456.8167021966296;23451.74236753959;1772.6512387830724;32175.961860935506;109.99817459538156;232.12316579448088;3865.06890766138;155177.3288035683
31;279.4646863896143;5494.519068874639;1454.6126790713035;23081.821795022937;1775.0554708252764;32081.656526734972;110.677723170685;233.00538384931502;3867.3659281471405;153945.548937048
32;279.2411449310341;5169.8495598549125;1451.4739426399638;22724.335796330546;1779.2478305167726;32539.739351470642;110.16430782674595;221.47255371225262;3867.1608573019357;152686.28158833404
33;276.63637809160895;5098.8727374701975;1449.6839787117144;22368.188739303623;1782.9117866457984;33251.81240032542;110.03306682489537;206.9223509830183;3862.630483731374;151544.04789077706
34;276.2626943774782;4853.589682328981;1452.257562773869;22132.165355323825;1780.6846153502509;32947.62476627036;110.06362995174815;191.659626416027;3866.020326382025;150617.89628594567
35;280.01389803259246;5127.011148630898;1458.7896980668258;23537.382446546715;1783.0208412863078;32658.686628723743;110.09952389594139;182.0270027932502;3868.813441566224;149038.45340156916
36;280.35793318352904;4874.472027600443;1460.455298181599;23453.556853481867;1779.3536884865014;32395.007622724548;109.77128767422032;167.7094813394512;3866.2048043001623;148097.24098617295
