TrueTau1;EstTau1;UncorrVar1;CorrVar1;Samp1;Model1;TrueTau2;EstTau2;UncorrVar2;CorrVar2;Samp2;Model2;TrueTau3;EstTau3;UncorrVar3;CorrVar3;Samp3;Model3;TrueTau4;EstTau4;UncorrVar4;CorrVar4;Samp4;Model4;TrueTau5;EstTau5;UncorrVar5;CorrVar5;Samp5;Model5
232.11008650886112;262.00181949551927;8626.42666810379;3268.54704516152;664.9297608447825;2603.6172843167374;1174.1192709689785;1131.5809055868253;27922.466436308405;15781.435455830582;10386.751296471146;5394.684159359436;2004.6991627903176;1875.9662052139947;44576.89111860796;30771.297397730545;24963.195967113297;5808.101430617247;111.68352070784466;93.20239478560408;549.6717256248362;180.0021897262158;62.1420468135199;117.86014291269589;3857.430554950569;3579.7012482876903;121022.12976229501;98069.7632893602;92283.18928297886;5786.574006381343
234.27585946528202;122.49842147227974;3279.8515420350777;723.4969394225084;115.22097891459046;608.275960507918;1119.527731769165;1227.0804669983222;27465.932092143823;14269.153021325623;9545.542099383809;4723.610921941814;1974.644558142144;1983.3356451398447;43345.866683248954;28545.10547831584;24165.32076596267;4379.784712353168;113.5443168926339;102.76778610781685;627.8168372867292;213.2540209772892;64.05424101620808;149.1997799610811;3844.86067494906;3877.827691661609;126150.33683030898;100122.49636439086;91376.77517865792;8745.721185732938
238.13868005291272;183.559050994494;5477.674481326216;1701.6635572259213;215.09957017870133;1486.56398704722;1130.8414707990573;1272.0323972466692;26736.17657744263;14229.591399543388;9578.42953250598;4651.161867037408;2001.3168311293723;1849.870202889765;37037.36659095514;24256.19365734512;19421.9892963244;4834.204361020722;113.38902151317023;132.18649492738658;859.4851473972183;312.01611415588286;97.11912606349897;214.89698809238388;3748.007525858085;3726.7915867201295;111703.22967617598;86834.72937940015;78304.47704727597;8530.252332124175
216.55229144379936;233.2410534575077;7469.284782604211;2702.943882719975;380.26375021597306;2322.680132504002;1157.46210827131;1174.66384760713;29005.896534985448;15304.545714728918;8996.613660306684;6307.932054422234;1968.9493033593221;1853.2132644456906;36344.268224224645;23277.280568730937;19794.89324836296;3482.387320367976;118.65362128257226;122.21869367305167;748.8568973043641;262.96205840037806;86.22402160684172;176.73803679353637;3813.068924334871;3672.2463843669593;109732.65653040324;86537.05284184995;78192.87310270358;8344.179739146362
224.38749299337255;206.50111159655597;6299.475036473896;2336.338822080181;412.01184748633113;1924.32697459385;1103.8082216255166;1090.8599732599832;25345.63141947388;14342.861391192766;9288.76243825863;5054.098952934137;1961.6630660850883;1888.9962339317526;39462.57655105124;26829.223132152492;21213.879881084325;5615.343251068167;123.20963071655711;96.25913698017335;563.2320873810145;181.60602326729764;53.422804298296285;128.18321896900136;3814.065197573759;3886.591626338754;131135.25277230015;102906.07762529186;95060.41070524228;7845.666920049582
226.0748136481111;254.8745345629169;7890.167569166557;2748.708796718925;444.6638354445696;2304.0449612743555;1144.8558537507295;1111.5598651139685;24928.322302425695;12253.928193720487;6707.050544046978;5546.877649673508;2042.9832089706367;2061.547551401349;39220.48985722393;23656.808013159345;16962.712173692085;6694.09583946726;114.315618966649;109.1066518085678;641.6951209635271;215.06157282888796;45.23319447890668;169.82837834998128;3805.5812816999714;4060.3599825048677;107010.77595222741;79391.98805585169;68220.95040267525;11171.037653176434
229.5871335829442;231.59741905414367;7089.00946158902;2452.8772249403314;424.1802246413784;2028.6970002989528;1134.7076342281835;1192.2689843717756;29165.983743666642;15883.000741940232;9837.481695100669;6045.519046839563;1979.1452404076015;2107.1165734614797;46115.26027628935;31776.891391316734;25408.58886054301;6368.302530773726;119.0766055135864;99.4826256654812;624.3604454969061;201.41624134664525;57.84920557523364;143.5670357714116;3867.933752850256;3817.868748575714;121702.61805355625;95728.24530856751;85754.3739715066;9973.871337060904
231.82557305993154;271.989814904468;8224.644506027073;3246.13535172897;333.89427757591415;2912.2410741530557;1151.8396557831454;1144.8162290208554;22469.535240077297;10938.342618203404;5567.844088123906;5370.498530079498;2001.370078658476;2228.176176581349;38410.27571541564;24070.163568701482;18474.907856410737;5595.255712290746;116.52174565697912;108.79549968392351;587.792016282503;180.82741712159313;45.186871690316885;135.64054543127625;3792.4250034758256;4478.955751115318;118632.54677635842;85915.08272569545;74825.81562152194;11089.267104173516
235.347301237743;232.01896079950444;7054.766780195963;2316.3290569531036;419.9895251667483;1896.339531786355;1152.7058323660674;1286.4423730863052;29165.951306013645;16339.867075012131;9793.446622287393;6546.420452724738;1993.6749949333025;2319.1613172777006;46986.66486618061;29961.61691205051;23649.129054996403;6312.487857054108;114.60950936068036;145.21039308355697;1026.5937250476711;392.5592902424263;94.34179468337894;298.21749555904734;3817.359605860818;4257.640425659396;126212.03920129937;95045.88631893927;83440.53643765351;11605.349881285758
234.5840337876655;208.03224024372417;6146.698416462787;1960.6333023137902;308.54935710797673;1652.0839452058135;1128.0995524906496;1241.2761560585284;29995.10571062001;16334.179438860994;9469.732792401499;6864.446646459495;1984.119896124762;1992.8633672914532;39516.75829663379;25232.947514361513;19245.30023277008;5987.647281591431;111.88152304286831;106.87923812871328;630.097436738002;199.41318689820838;54.98892695994943;144.42425993825896;3798.8363727755104;4005.559543766196;118657.48853797838;93567.9106815423;82645.34247843565;10922.568203106654
