row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col48;Col50
11;ldhp*sdom;;4EST;;;-0.001480387;1.32879E-05;2.05445E-07;2.80892E-06;-8.10847E-07;0.001980059;0.001904342;0.001841135;0.001678398;0.001730752;0.002103575;0.001528307;0.001419677;0.001418589;0.001087443;-1.07098E-05;-9.94011E-05;-2.26244E-05;2.46212E-05;-5.01684E-05;-3.47767E-05;-0.000308118;-7.68662E-05;-0.000424277;-0.000375709;-0.000151252;0.000125795;-2.02431E-05;0.000116027;0.000338943;-2.51135E-05;-6.8832E-05;3.46446E-05;0.000196686;-0.000130699;-4.23712E-05;-1.11453E-08;0.000229429;0.000235486;0.000216303;0.000161893;0.00026429;0.000234274;0.000282252;0.000120021;0.00014131;-0.00012874
12;ldhp*sdom;;4OUEST;;;-0.001368318;-1.14884E-06;-1.38155E-07;7.84902E-07;-1.8149E-07;0.002003742;0.001854573;0.001855006;0.001687669;0.001759919;0.001528307;0.00175318;0.001348803;0.00136351;0.001090417;-1.88606E-05;-4.83923E-05;-3.99238E-05;-2.11073E-06;-0.000102718;-0.000137332;3.92827E-05;-2.96613E-05;-0.000212302;4.35374E-05;3.39488E-05;0.000123381;1.88251E-05;0.000114453;0.000243069;-6.05425E-05;-9.53168E-06;5.74876E-05;9.14066E-05;-8.28802E-05;-1.6305E-05;1.07696E-08;0.000129485;0.000102226;0.000106441;0.00020354;0.000145929;0.000132986;0.000243617;0.000135112;0.000129886;-0.000123555
13;ldhp*sdom;;5EST;;;-0.001444701;1.6423E-05;3.99141E-07;2.99167E-06;-8.92958E-07;0.001511109;0.00147916;0.001447118;0.001397787;0.001415678;0.001419677;0.001348803;0.001546118;0.001305864;0.00115509;2.69776E-06;-2.31221E-05;1.07206E-06;4.07084E-05;-2.01054E-05;-1.63892E-05;-0.000107383;-0.000103607;-0.000276363;-6.53436E-05;-8.94679E-06;-0.000230203;2.82234E-05;0.000149364;0.00032837;-5.98947E-06;2.1967E-05;2.51237E-05;0.000152857;-0.000117965;-1.87401E-05;-2.05712E-08;0.000181332;0.000184584;0.000178842;0.000189065;0.000235871;0.000202375;0.000275877;0.000128746;0.00016059;-5.20471E-05
14;ldhp*sdom;;5OUEST;;;-0.001314764;4.27899E-06;3.81781E-08;1.03927E-06;-2.40436E-07;0.001585563;0.001536214;0.001506545;0.001426672;0.001457141;0.001418589;0.00136351;0.001305864;0.001730846;0.001128217;-4.58194E-06;-2.7633E-05;-1.28035E-05;2.71132E-05;-3.31522E-05;-2.99883E-05;-8.73123E-05;-9.46921E-05;-0.000193871;-9.24317E-05;-3.81439E-06;8.47596E-06;2.14495E-05;7.2592E-05;0.000202213;-1.76229E-05;-6.92576E-07;-1.67754E-05;8.56426E-05;-9.91686E-05;-1.75209E-05;3.35146E-09;0.000135035;0.000128571;0.000115988;0.000156928;0.000174488;0.000130535;0.000163401;0.000100182;0.000100481;-7.08644E-05
15;ldhp*sdom;;6EST;;;-0.00136291;1.60908E-06;4.13255E-07;4.44947E-07;-1.70394E-07;0.000969576;0.000987456;0.000996096;0.001052069;0.001035706;0.001087443;0.001090417;0.00115509;0.001128217;0.001509462;1.38745E-05;1.047E-05;1.92125E-05;5.97476E-05;1.87281E-05;1.53954E-05;-8.19872E-06;6.19998E-06;9.09479E-06;-6.56017E-06;-1.18014E-05;-8.60562E-05;3.95931E-05;9.57166E-05;0.000310486;1.52802E-05;5.09354E-05;-7.29375E-05;0.00015653;-0.000171644;9.76529E-07;-1.77143E-08;0.000182212;0.000185733;0.000191644;0.000209306;0.000250454;0.000201267;0.000276608;0.000168334;0.000165952;3.14136E-05
17;ldhp*vp;;;FE2;;-0.007009716;2.07807E-06;1.00526E-06;2.76694E-07;9.02125E-09;-0.00027984;0.000166346;-0.000188553;-0.00010874;2.83372E-05;-1.07098E-05;-1.88606E-05;2.69776E-06;-4.58194E-06;1.38745E-05;0.010863362;0.006959915;0.006931643;0.006984498;0.00697539;0.006957798;0.006941953;0.00695139;0.006969111;0.006947096;0.006987552;0.006920971;0.006944802;0.006953292;0.006999854;0.006938183;0.006936609;0.006950404;0.006984779;0.006977614;0.006889498;-7.12353E-09;4.04179E-05;2.62218E-05;1.80001E-05;4.46771E-06;0.00018676;5.05725E-05;0.000110917;-3.67018E-05;-1.45972E-06;1.01513E-05
18;ldhp*vp;;;FE3;;-0.007019938;-8.64397E-06;1.07782E-06;4.40668E-07;-1.4381E-07;3.05741E-05;0.000160826;0.000145986;-9.14728E-05;1.16327E-05;-9.94011E-05;-4.83923E-05;-2.31221E-05;-2.7633E-05;1.047E-05;0.006959915;0.007682679;0.00692308;0.006912187;0.007018954;0.007005844;0.007069492;0.007047346;0.007105512;0.007083833;0.007013291;0.007030373;0.006956284;0.007044223;0.007029066;0.006942221;0.006987786;0.007043;0.007018427;0.007081912;0.006921831;-2.31E-09;6.18341E-06;-1.41944E-05;-3.11382E-05;-6.84425E-05;0.000126568;7.4935E-06;4.61583E-05;-4.01174E-05;7.7653E-07;1.96091E-05
19;ldhp*vp;;;FE6;;-0.00699194;1.51506E-05;1.05129E-06;1.68925E-06;-3.70311E-07;-6.00206E-05;0.000113871;-0.000168808;-2.40088E-05;-0.000121399;-2.26244E-05;-3.99238E-05;1.07206E-06;-1.28035E-05;1.92125E-05;0.006931643;0.00692308;0.011014841;0.006935588;0.006907316;0.006917225;0.006889835;0.006906275;0.006931184;0.006899039;0.006879193;0.006860922;0.006863618;0.0069228;0.006949757;0.006967669;0.00688558;0.006909117;0.006931272;0.006948254;0.006804951;-1.76195E-08;-7.32583E-05;4.96811E-05;1.73382E-05;8.86391E-06;0.000181492;5.93044E-05;6.5476E-05;-3.8115E-05;8.26853E-06;1.53802E-05
20;ldhp*vp;;;MF1;;-0.009017988;7.21273E-06;1.73482E-06;3.50367E-06;-1.09197E-06;-2.35481E-05;0.000239273;-0.000417783;2.42832E-05;4.74488E-05;2.46212E-05;-2.11073E-06;4.07084E-05;2.71132E-05;5.97476E-05;0.006984498;0.006912187;0.006935588;0.011798525;0.006957357;0.006985283;0.006978;0.006957023;0.006972232;0.006941686;0.006984641;0.006968532;0.008843363;0.006989818;0.008961582;0.00690741;0.006962317;0.006975355;0.008913084;0.006986019;0.006849788;-2.04508E-08;0.001997839;0.001966973;0.001973844;0.001917304;0.002054616;0.001897621;0.00178962;-5.69217E-05;-2.87432E-05;2.01505E-05
21;ldhp*vp;;;MJ1;;-0.007147501;4.1626E-06;1.68675E-06;2.91906E-06;-9.87874E-07;-7.13905E-05;8.93979E-05;9.83071E-05;-0.000166364;2.38168E-05;-5.01684E-05;-0.000102718;-2.01054E-05;-3.31522E-05;1.87281E-05;0.00697539;0.007018954;0.006907316;0.006957357;0.007547721;0.007039403;0.007036588;0.007064136;0.007104177;0.007038782;0.007023691;0.007006531;0.007053166;0.007077417;0.007131477;0.006929712;0.007006454;0.007068874;0.007123749;0.007109954;0.006976614;-2.11711E-08;7.33946E-05;4.54705E-05;5.14075E-05;2.9313E-05;0.000170225;5.91468E-05;0.000104673;-3.38853E-05;-6.34232E-06;2.97304E-05
