PopSize;speciesRichness;averageSpecies;scale1;scale2;Simpson;Sorensen;Nestedness;SimpsonCorr;SorensenCorr;NestednessCorr
50;80.0;15.0;1.0;5.0;0.9427459249047117;0.950274686575574;0.007528761670862361;0.39709649871904357;0.43324128187014327;0.0361447831510997
50;60.0;10.0;1.0;5.0;0.9410760034158838;0.9527743827914935;0.011698379375609691;0.38981252210824197;0.4465959348289374;0.056783412720695425
50;40.0;5.0;1.0;5.0;0.9429683921209345;0.9568420140393449;0.01387362191841035;0.39808547669696387;0.470009790983781;0.07192431428681711
60;100.0;17.0;1.0;5.0;0.9521187938784788;0.9597930273984222;0.007674233519943452;0.39861707301600724;0.44311728999412564;0.0445002169781184
60;80.0;12.0;1.0;5.0;0.9499739059121748;0.9606139758753265;0.0106400699631517;0.3876247262107569;0.44842514830595553;0.06080042209519865
60;60.0;10.0;1.0;5.0;0.9505821258061814;0.9589679393560053;0.008385813549823928;0.39068470515336157;0.43789894883927727;0.0472142436859157
60;40.0;7.0;1.0;5.0;0.945136186770428;0.9564029889203813;0.011266802149953348;0.3647694849076438;0.42238102824370144;0.05761154333605761
70;100.0;17.0;1.0;5.0;0.9568640876412188;0.9639679715302492;0.007103883889030382;0.3879250520471894;0.4332267093162735;0.045301657269084084
70;80.0;15.0;1.0;5.0;0.9556717335910728;0.9631785421038227;0.007506808512749874;0.381176841662578;0.4277125517554308;0.046535710092852844
70;60.0;9.0;1.0;5.0;0.9597297112825063;0.9672495142936441;0.00751980301113786;0.4050877243525107;0.45764937623112273;0.052561651878612003
70;40.0;8.0;1.0;5.0;0.9539467945922372;0.9637437341207169;0.009796939528479709;0.37179182105585207;0.4316469321851453;0.05985511112929326
80;100.0;16.0;1.0;5.0;0.9634362797302094;0.9691762886855034;0.005740008955294029;0.3971319871232076;0.4401096225496303;0.042977635426422744
80;80.0;15.0;1.0;5.0;0.9617661650405159;0.9681551472411228;0.0063889822006069075;0.38607788207490806;0.4318363334766849;0.04575845140177681
80;60.0;11.0;1.0;5.0;0.9616542337390394;0.9675795297372061;0.005925295998166713;0.3853576672959933;0.4273009357668157;0.041943268470822415
80;40.0;7.0;1.0;5.0;0.9593039573393208;0.9680194089104543;0.008715451571133515;0.3707962681709699;0.43075866130140344;0.059962393130433556
90;100.0;18.0;1.0;5.0;0.9660791486531427;0.9717195615607844;0.005640412907641723;0.3875917278185457;0.43296464367778226;0.045372915859236584
90;80.0;12.0;1.0;5.0;0.9669474839417708;0.9726546852885412;0.005707201346770385;0.39397924694556596;0.4414748554598014;0.047495608514235454
90;60.0;8.0;1.0;5.0;0.9659584403455522;0.9736180222564009;0.007659581910848701;0.3867192611841244;0.4505807380858672;0.06386147690174276
90;40.0;7.0;1.0;5.0;0.962176;0.9717609957713166;0.009584995771316551;0.361142472795407;0.43333510893304217;0.07219263613763516
100;100.0;18.0;1.0;5.0;0.9699319539912266;0.9745544098625412;0.004622455871314601;0.3921556305032434;0.4337456376297328;0.04159000712648936
100;80.0;12.0;1.0;5.0;0.9705234500680608;0.9753434016168601;0.004819951548799217;0.39704750718885423;0.441696941286769;0.044649434097914775
100;60.0;10.0;1.0;5.0;0.96777325399311;0.9739371604422324;0.006163906449122458;0.37523527340287305;0.4277133561358138;0.052478082732940745
100;40.0;7.0;1.0;5.0;0.9627806519664474;0.9719355388490162;0.009154886882568825;0.3409584118965456;0.4092086904524616;0.06825027855591603
200;100.0;15.0;1.0;5.0;0.9848990359919608;0.9872402648024305;0.00234122881046972;0.39474983459560375;0.4362116701205218;0.041461835524918056
200;80.0;12.0;1.0;5.0;0.9840318960029484;0.9868743201002464;0.0028424240972980686;0.38128323363243605;0.4291798562529718;0.047896622620535734
200;60.0;10.0;1.0;5.0;0.9826775693973151;0.9863112698210262;0.003633700423711139;0.36195443751086015;0.4187830544575008;0.05682861694664065
200;40.0;7.0;1.0;5.0;0.982842551478635;0.98705956017684;0.004217008698205071;0.36420630666324844;0.4327114231290706;0.06850511646582219
300;100.0;17.0;1.0;5.0;0.9886297132346794;0.9905454997822977;0.001915786547618259;0.3669511249030256;0.4112330535829568;0.04428192867993119
300;80.0;16.0;1.0;5.0;0.9886854461183537;0.9905357539800794;0.0018503078617256863;0.3681064190882413;0.41098124282353643;0.04287482373529511
300;60.0;9.0;1.0;5.0;0.9885256304032398;0.9910413520963205;0.0025157216930806747;0.3648125387809651;0.4244581953382262;0.05964565655726112
