Dependent,Estimate,Probt,ess,esslat
wood2,4.758463489,<.0001,all,Any
bark2,4.820653422,<.0001,all,Any
stem2,4.740771596,<.0001,all,Any
branches2,4.929778845,<.0001,all,Any
foliage2,2.588971704,<.0001,all,Any
crown2,3.958541692,<.0001,all,Any
total2,4.548282375,<.0001,all,Any
wood2,3.695277399,<.0001,Alpine Fir,AbiesLasiocarpa
bark2,3.927562236,<.0001,Alpine Fir,AbiesLasiocarpa
stem2,3.869695894,<.0001,Alpine Fir,AbiesLasiocarpa
branches2,3.560699702,<.0001,Alpine Fir,AbiesLasiocarpa
foliage2,2.776669528,<.0001,Alpine Fir,AbiesLasiocarpa
crown2,3.194608635,<.0001,Alpine Fir,AbiesLasiocarpa
total2,2.997150448,<.0001,Alpine Fir,AbiesLasiocarpa
wood2,4.540638987,<.0001,Basswood,TiliaAmericana
bark2,3.333611199,<.0001,Basswood,TiliaAmericana
stem2,4.682644167,<.0001,Basswood,TiliaAmericana
branches2,4.087505944,<.0001,Basswood,TiliaAmericana
foliage2,2.617159637,<.0001,Basswood,TiliaAmericana
crown2,4.119498212,<.0001,Basswood,TiliaAmericana
total2,4.121260011,<.0001,Basswood,TiliaAmericana
wood2,3.468310385,<.0001,Beech,FagusGrandifolia
bark2,3.647798496,<.0001,Beech,FagusGrandifolia
stem2,3.605215137,<.0001,Beech,FagusGrandifolia
branches2,3.573366408,<.0001,Beech,FagusGrandifolia
foliage2,1.27259614,<.0001,Beech,FagusGrandifolia
crown2,2.913559804,<.0001,Beech,FagusGrandifolia
total2,3.179980876,<.0001,Beech,FagusGrandifolia
wood2,2.488874492,0.0006,Eastern Red Cedar,JuniperusVirginiana
bark2,1.538199595,0.0032,Eastern Red Cedar,JuniperusVirginiana
stem2,2.146490692,0.0017,Eastern Red Cedar,JuniperusVirginiana
branches2,2.940936818,<.0001,Eastern Red Cedar,JuniperusVirginiana
foliage2,1.686286792,<.0001,Eastern Red Cedar,JuniperusVirginiana
crown2,1.683468136,0.0002,Eastern Red Cedar,JuniperusVirginiana
total2,1.718804146,0.0009,Eastern Red Cedar,JuniperusVirginiana
wood2,3.93983463,<.0001,Hickory,CaryaSp
bark2,3.468608118,<.0001,Hickory,CaryaSp
stem2,3.808347795,<.0001,Hickory,CaryaSp
branches2,4.046637877,<.0001,Hickory,CaryaSp
foliage2,2.638333487,<.0001,Hickory,CaryaSp
crown2,4.272203584,<.0001,Hickory,CaryaSp
total2,3.786430659,<.0001,Hickory,CaryaSp
wood2,3.720028315,0.0694,Hop-Hornbeam,OstryaVirginiana
