PopSize;nbTaxa;minSp;maxSp;Simpson;Sorensen;Nestedness;SimpsonCorr;SorensenCorr;NestednessCorr
50;100;11;20;0.9535900104058272;0.9596489640821496;0.006058953676322365;0.45111745594171504;0.4875212575263134;0.03640380158459838
50;80;11;20;0.9502980679451267;0.956510809451986;0.006212741506859243;0.43336281156856965;0.46801968019680196;0.03465686862823231
50;60;11;20;0.9453434610303831;0.9527952082144895;0.00745174718410635;0.4089285714285714;0.4467103503610591;0.037781778932487686
50;40;11;20;0.9298721425803952;0.9409942950285248;0.01112215244812964;0.34657039711191334;0.38946232206705794;0.0428919249551446
60;100;11;20;0.9602426504899674;0.9652145510962316;0.004971900606264179;0.44600979669686586;0.4804983638543932;0.03448856715752735
60;80;11;20;0.9570891732683323;0.9630738304892171;0.005984657220884815;0.4264316582573478;0.4650600884180761;0.03862843016072831
60;60;11;20;0.9519879160597724;0.9588363165441006;0.006848400484328221;0.3979299614404582;0.43707701714068853;0.039147055700230304
60;40;11;20;0.9407422320649621;0.9498651525904898;0.009122920525527656;0.3460551002271156;0.3870822198313262;0.04102711960421057
70;100;11;20;0.9652873319928035;0.9697053662140944;0.004418034221290945;0.44274549779136935;0.4776832430956822;0.03493774530431287
70;80;11;20;0.9633451294468244;0.9680176812818929;0.004672551835068539;0.42886519294870734;0.46374351867710945;0.034878325728402104
70;60;11;20;0.9584377361492264;0.9641392563614214;0.005701520212194944;0.39717831654937125;0.4344407419147835;0.037262425365412244
70;40;11;20;0.9470626533780738;0.956290706089114;0.009228052711040213;0.33825239245148025;0.38465248958342;0.046400097131939766
80;100;11;20;0.9691021150661128;0.9730784698729625;0.003976354806849769;0.439498602440496;0.47468639285425784;0.035187790413761855
80;80;11;20;0.9670746326911818;0.9713137152503674;0.004239082559185592;0.42339615271946107;0.4584338834211296;0.035037730701668546
80;60;11;20;0.9631285600538985;0.9682531311799605;0.005124571126062016;0.3950508730059038;0.4326174291066316;0.03756655610072779
80;40;11;20;0.9534046102517441;0.9610416369486314;0.007637026696887372;0.33842033724951887;0.3814601616809789;0.04303982443146004
90;100;11;20;0.9725369613748368;0.975860345434014;0.0033233840591772035;0.44038604589063296;0.4732259078055568;0.03283986191492383
90;80;11;20;0.9704395875918147;0.9743968871595331;0.0039572995677183975;0.42180955449459595;0.458208299787748;0.03639874529315207
90;60;11;20;0.9669304216070612;0.9714987511270948;0.004568329520033609;0.3938518206487132;0.43100047359152505;0.03714865294281183
90;40;11;20;0.9598016264169542;0.9664045102910321;0.006602883874077925;0.34665791464554313;0.3899620316939266;0.043304117048383495
100;100;11;20;0.9750864687395755;0.9782310211783476;0.003144552438772097;0.43907722471696914;0.4733345457649639;0.03425732104799478
