PopSize;speciesRichness;averageSpecies;bioClimDomain;Simpson;Sorensen;Nestedness;SimpsonCorr;SorensenCorr;NestednessCorr
90;16.0;2.0;5;0.9249480866211807;0.9627091163681922;0.037761029747011565;0.21499000206853755;0.36455222839282225;0.1495622263242847
100;15.0;2.0;5;0.9331747919143877;0.9655341592052006;0.0323593672908129;0.21831534438633582;0.35909132378432623;0.14077597939799041
200;19.0;2.0;5;0.9630138869792383;0.9825633213955824;0.019549434416344158;0.20658329400660688;0.3604108587494725;0.1538275647428656
300;21.0;2.0;5;0.974777584151151;0.9883532152184654;0.013575631067314409;0.20486526080419448;0.3613232865400495;0.15645802573585504
400;22.0;2.0;5;0.9819904608464005;0.9915001261053036;0.009509665258903066;0.21422605790645882;0.36838542475241015;0.15415936684595133
500;23.0;2.0;5;0.9848778101537742;0.9930297021937812;0.008151892040006992;0.2066715463991145;0.3630019719165398;0.15633042551742532
600;24.0;3.0;5;0.9875986001555382;0.9939853168990368;0.006386716743498555;0.2097694792265829;0.35519896408224766;0.14542948485566476
700;25.0;2.0;5;0.9890256087530155;0.9949448652112388;0.005919256458223332;0.2047645552201755;0.3599340616176153;0.15516950639743982
800;22.0;2.0;5;0.9902159905579722;0.9955406700019769;0.005324679444004721;0.20192748460027912;0.3582018709537103;0.1562743863534312
900;25.0;2.0;5;0.9916084625232923;0.9960041497689334;0.0043956872456411;0.2079802832553898;0.3564622055211071;0.14848192226571727
1000;24.0;2.0;5;0.9923686573984107;0.9964308699048395;0.004062212506428797;0.20639775584796918;0.35830001174757037;0.15190225589960119
20;7.0;1.0;6;0.7023809523809523;0.8792270531400966;0.1768461007591443;0.19093851132686085;0.4212962962962963;0.23035778496943543
30;9.0;1.0;6;0.7897435897435897;0.9156378600823045;0.1258942703387148;0.20026007802340703;0.41981132075471694;0.2195512427313099
40;6.0;1.0;6;0.793918918918919;0.9231253938248267;0.12920647490590775;0.16151202749140894;0.37516005121638923;0.2136480237249803
50;8.0;2.0;6;0.8270944741532977;0.9271498310176493;0.10005535686435152;0.1606092073381793;0.3373411668260692;0.1767319594878899
60;9.0;2.0;6;0.8443843031123139;0.9404761904761905;0.09609188736387653;0.1531664212076583;0.3449781659388646;0.1918117447312063
70;8.0;1.0;6;0.8185053380782918;0.9472322814278323;0.1287269433495405;0.1141439205955335;0.3390112942047769;0.2248673736092434
80;10.0;1.0;6;0.9124192390524049;0.9610472541507025;0.04862801509829762;0.20663306779385465;0.38149556400506973;0.17486249621121508
90;9.0;1.0;6;0.8897280966767371;0.962181064628934;0.07245296795219691;0.15203923593185337;0.36117458311050604;0.20913534717865268
100;7.0;1.0;6;0.8998097653772986;0.9630019903992507;0.0631922250219521;0.15226955681940121;0.34235171696149846;0.19008216014209725
200;11.0;1.0;6;0.94395329441201;0.9819524640794951;0.037999169667485067;0.14414529152551006;0.3523703054075152;0.20822501388200512
300;10.0;1.0;6;0.960790615458782;0.9876683597402269;0.02687774428144496;0.1404213344606496;0.3480874560270739;0.2076661215664243
400;11.0;1.0;6;0.9713955504189541;0.9902684940740325;0.01887294365507841;0.14515154131767552;0.3372194779049249;0.19206793658724938
500;11.0;1.0;6;0.9763430124525058;0.9924983950258994;0.016155382573393662;0.14169222471765397;0.3460715227564044;0.20437929803875043
600;13.0;1.0;6;0.9818056317587299;0.993681253668776;0.011875621910046097;0.15245154215894005;0.3439170323095333;0.19146549015059325
700;12.0;1.0;6;0.982807650667629;0.9947179467847552;0.01191029611712624;0.14039848721681714;0.3498294832871785;0.20943099607036136
800;14.0;1.0;6;0.9853031230863442;0.9953162408651015;0.010013117778757352;0.14354536533143009;0.3469427420873294;0.2033973767558993
900;13.0;1.0;6;0.9863070945255052;0.9956758638795644;0.00936876935405917;0.13798143363763127;0.3384882882358304;0.2005068545981991
1000;14.0;1.0;6;0.9877624244495227;0.9961535492402757;0.00839112479075299;0.13899323816679188;0.3412210519538602;0.20222781378706833
