row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col38;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col49;Col50;Col51
11;ldhp*sdom;;4OUEST;;;-0.0004074005526468000000000;-0.0000115100037888000000000;0.0000001868774135000000000;0.0000137207102928000000000;0.0005141478779405000000000;0.0005120638555089000000000;0.0005093720876327000000000;0.0005138166875374000000000;0.0005089864244939000000000;0.0004899056631190000000000;0.0005431275556786000000000;0.0004895925258127000000000;0.0004670565891854000000000;0.0004633916561122000000000;-0.0000163384293595000000000;-0.0000179872164617000000000;-0.0000222386907555000000000;-0.0000024468116302000000000;-0.0000279504763321000000000;-0.0000400945862326000000000;0.0000047648768953000000000;-0.0000120083808962000000000;0.0000038148696753000000000;-0.0000112040125021000000000;0.0000021174616845000000000;-0.0000136300374635000000000;0.0000450242332793000000000;0.0000493795278948000000000;-0.0000305566291071000000000;-0.0000192141155134000000000;0.0000235878988939000000000;0.0000182092690125000000000;0.0000113164424391000000000;-0.0000169758185469000000000;-0.0000157266858092000000000;0.0000000267898414000000000;0.0000160626448782000000000;0.0000029890164482000000000;0.0000126486679607000000000;0.0000225194423498000000000;0.0000136075509951000000000;0.0000193468061852000000000;0.0000495408761928000000000;0.0000308287967323000000000;0.0000158050525904000000000;-0.0000000868414062000000000;0.0000001978255773000000000;0.0000019480514478000000000
12;ldhp*sdom;;5EST;;;-0.0002461218827871000000000;0.0000030050789168000000000;-0.0000002663523330000000000;-0.0000007778958095000000000;0.0004706953548252000000000;0.0005247185346134000000000;0.0004848399938078000000000;0.0005270347550507000000000;0.0004866772099524000000000;0.0005383888798122000000000;0.0004895925258127000000000;0.0006162154451714000000000;0.0004774865080362000000000;0.0004868596378168000000000;0.0000219502405098000000000;0.0000195772437891000000000;0.0000175004493742000000000;0.0000288857736083000000000;0.0000223088124255000000000;0.0000167043888161000000000;-0.0000000474951378000000000;-0.0000485838584663000000000;-0.0000002116818789000000000;0.0000197610866996000000000;-0.0000652122416324000000000;0.0000055001113973000000000;0.0000599569823044000000000;0.0000827863481312000000000;0.0000104081038758000000000;0.0000082650620271000000000;0.0000327520980056000000000;0.0000457959489127000000000;0.0000075423269284000000000;0.0000041211228523000000000;0.0000316919723013000000000;-0.0000000042292060000000000;0.0000264612923981000000000;0.0000229540527666000000000;0.0000258131369981000000000;0.0000045515341690000000000;0.0000356339804791000000000;0.0000357552997280000000000;0.0000441378693274000000000;0.0000314953819822000000000;0.0000244512939603000000000;-0.0000002896797766000000000;-0.0000009628846125000000000;-0.0000018135051421000000000
13;ldhp*sdom;;5OUEST;;;-0.0004760806249646000000000;-0.0000023860494134000000000;0.0000001318520679000000000;0.0000035230786181000000000;0.0004662162575555000000000;0.0004686580771173000000000;0.0004645592432235000000000;0.0004692927318341000000000;0.0004666293028449000000000;0.0004816504318065000000000;0.0004670565891854000000000;0.0004774865080362000000000;0.0005616453505035000000000;0.0004558168725876000000000;0.0000144248937127000000000;0.0000109495474451000000000;0.0000130187314461000000000;0.0000253695310743000000000;0.0000133686030984000000000;0.0000129816592204000000000;-0.0000075996764169000000000;0.0000002676138486000000000;-0.0000170080840248000000000;0.0000078751920986000000000;-0.0000007651161360000000000;0.0000116050531422000000000;0.0000537629662825000000000;0.0000666700889573000000000;0.0000130121891967000000000;0.0000103192374783000000000;0.0000259155232059000000000;0.0000353779850293000000000;0.0000176487568173000000000;0.0000084263468047000000000;0.0000130488721965000000000;0.0000000027431128000000000;0.0000216890590014000000000;0.0000120262552888000000000;0.0000170424138128000000000;0.0000237691704567000000000;0.0000217170816512000000000;0.0000205199037751000000000;0.0000294814871095000000000;0.0000264652597303000000000;0.0000114835379195000000000;-0.0000000218592171000000000;0.0000005183951633000000000;0.0000007833318601000000000
14;ldhp*sdom;;6EST;;;-0.0003718963682599000000000;-0.0000009407125630000000000;-0.0000001762147125000000000;-0.0000001789728702000000000;0.0004540836159055000000000;0.0004747428173038000000000;0.0004585396250046000000000;0.0004763462377312000000000;0.0004608629554351000000000;0.0004726568667336000000000;0.0004633916561122000000000;0.0004868596378168000000000;0.0004558168725876000000000;0.0006215601881091000000000;0.0000055777048501000000000;0.0000038226465349000000000;0.0000030837658817000000000;0.0000158977383905000000000;0.0000034911627919000000000;0.0000000791533716000000000;0.0000023104521192000000000;-0.0000221821771308000000000;0.0000001605247926000000000;0.0000048465086219000000000;-0.0000138303867363000000000;0.0000047549694343000000000;0.0000131072506483000000000;0.0000616178671833000000000;-0.0000013210179659000000000;0.0000019404041367000000000;-0.0000301866676768000000000;0.0000284528384526000000000;-0.0000960909600387000000000;-0.0000009355249728000000000;0.0000090139371006000000000;0.0000000162932455000000000;0.0000297412353120000000000;0.0000383698226170000000000;0.0000358907311973000000000;0.0000429152579544000000000;0.0000494486825639000000000;0.0000367950549839000000000;0.0000744631517841000000000;0.0000419153051223000000000;0.0000350893453234000000000;-0.0000001276889989000000000;0.0000011823658293000000000;-0.0000002807157819000000000
16;ldhp*vp;;;FE2;;0.0000315884440727000000000;-0.0000353412886211000000000;0.0000001749933255000000000;0.0000405408061551000000000;-0.0001572106306373000000000;-0.0000339666014752000000000;-0.0001786712803612000000000;-0.0000582818250899000000000;-0.0000742619736951000000000;0.0000112163170856000000000;-0.0000163384293595000000000;0.0000219502405098000000000;0.0000144248937127000000000;0.0000055777048501000000000;0.0019864316908266000000000;0.0000958034550603000000000;0.0001361969713860000000000;0.0001134944226243000000000;0.0000995247495440000000000;0.0000841253104075000000000;0.0000314900987532000000000;-0.0000014114170369000000000;0.0000302650152617000000000;0.0000911607079761000000000;0.0000312563565866000000000;0.0000626465797152000000000;0.0000388543941642000000000;0.0000513882126321000000000;0.0001128818590403000000000;0.0000705129830611000000000;0.0000304265416642000000000;0.0000482614166900000000000;0.0000102195616656000000000;0.0000797893376890000000000;0.0001267352844857000000000;0.0000000470685097000000000;0.0000020894915752000000000;0.0000115809093296000000000;0.0000025669171498000000000;0.0000096535648399000000000;0.0000225044891432000000000;0.0000107103512639000000000;0.0000159800559919000000000;0.0000065887767036000000000;0.0000086972528657000000000;-0.0000000357026465000000000;-0.0000049078060214000000000;0.0000052611277081000000000
17;ldhp*vp;;;FE3;;0.0000580742707273000000000;-0.0000441321092114000000000;0.0000002460417497000000000;0.0000498368113696000000000;-0.0000351900467461000000000;-0.0000234192589004000000000;-0.0000506952363389000000000;-0.0000478036432037000000000;-0.0000562725825771000000000;-0.0000051337489573000000000;-0.0000179872164617000000000;0.0000195772437891000000000;0.0000109495474451000000000;0.0000038226465349000000000;0.0000958034550603000000000;0.0003250317576756000000000;0.0000945254653656000000000;0.0000726668122838000000000;0.0000827727624343000000000;0.0000704736529949000000000;0.0000408362110298000000000;0.0000112205187639000000000;0.0000373474209183000000000;0.0000722157770140000000000;0.0000283079841965000000000;0.0000564320027484000000000;0.0000330329912118000000000;0.0000429154941559000000000;0.0000834509911150000000000;0.0000612973003219000000000;0.0000274171378944000000000;0.0000418472535680000000000;0.0000126137435124000000000;0.0000650057839432000000000;0.0000904835092482000000000;0.0000000274749802000000000;0.0000059370461734000000000;0.0000153501059827000000000;0.0000008084990434000000000;0.0000036692811698000000000;0.0000167958266449000000000;0.0000114451878414000000000;0.0000131075159270000000000;0.0000042985822028000000000;0.0000083183902572000000000;-0.0000000350650164000000000;-0.0000056061470201000000000;0.0000056789096394000000000
18;ldhp*vp;;;FE6;;-0.0000206335395550000000000;-0.0000194728687515000000000;0.0000000057399227000000000;0.0000318252303574000000000;-0.0000774756125032000000000;-0.0000478674383367000000000;-0.0001716298147959000000000;-0.0000397875578510000000000;-0.0001108412195760000000000;0.0000039406986920000000000;-0.0000222386907555000000000;0.0000175004493742000000000;0.0000130187314461000000000;0.0000030837658817000000000;0.0001361969713860000000000;0.0000945254653656000000000;0.0017633715343920000000000;0.0001133109396224000000000;0.0000930707952402000000000;0.0000842658030999000000000;0.0000278315819005000000000;0.0000104466857890000000000;0.0000278144874895000000000;0.0000709555433815000000000;0.0000197312008595000000000;0.0000656078594947000000000;0.0000446248726487000000000;0.0000555391889023000000000;0.0001285691865890000000000;0.0000723600412642000000000;0.0000322170876510000000000;0.0000506491485204000000000;0.0000188849794635000000000;0.0000686487531658000000000;0.0001334792415174000000000;0.0000000204456233000000000;-0.0000266655416562000000000;0.0000256589471684000000000;0.0000073278921697000000000;0.0000137537935738000000000;0.0000248967519702000000000;0.0000176419298183000000000;0.0000123846683229000000000;0.0000050440023848000000000;0.0000097449030987000000000;-0.0000000050924212000000000;-0.0000031225372086000000000;0.0000030191454930000000000
19;ldhp*vp;;;MF1;;-0.0004573618629691000000000;-0.0000235826859272000000000;0.0000001465392874000000000;0.0000250899182733000000000;-0.0000348421179216000000000;-0.0000034748160196000000000;-0.0001733847691099000000000;-0.0000206776722793000000000;-0.0000441269517796000000000;0.0000232402268829000000000;-0.0000024468116302000000000;0.0000288857736083000000000;0.0000253695310743000000000;0.0000158977383905000000000;0.0001134944226243000000000;0.0000726668122838000000000;0.0001133109396224000000000;0.0014492920516695000000000;0.0000815329946196000000000;0.0000782445232381000000000;0.0000341567990186000000000;0.0000038440956743000000000;0.0000285467986250000000000;0.0000738926109826000000000;0.0000359796916854000000000;0.0004673384301773000000000;0.0000453095880511000000000;0.0004659994771884000000000;0.0000897696358790000000000;0.0000855091365577000000000;0.0000369222101349000000000;0.0004569775475711000000000;0.0000101739266592000000000;0.0000669322153359000000000;0.0001017319353154000000000;0.0000000316310718000000000;0.0004236150069290000000000;0.0004283613446778000000000;0.0004213622683576000000000;0.0004175357887047000000000;0.0004111774963210000000000;0.0003997774218580000000000;0.0003791113055890000000000;0.0000021134165530000000000;0.0000030154167640000000000;0.0000000158421191000000000;-0.0000017656932742000000000;0.0000033013489419000000000
20;ldhp*vp;;;MJ1;;0.0000289719714771000000000;-0.0000333554882882000000000;0.0000001113904831000000000;0.0000351440220999000000000;-0.0000615039075307000000000;-0.0000387123150555000000000;-0.0000620154785852000000000;-0.0000653114308974000000000;-0.0000550475600215000000000;0.0000085201015329000000000;-0.0000279504763321000000000;0.0000223088124255000000000;0.0000133686030984000000000;0.0000034911627919000000000;0.0000995247495440000000000;0.0000827727624343000000000;0.0000930707952402000000000;0.0000815329946196000000000;0.0002446350271566000000000;0.0000782752454161000000000;0.0000270413152448000000000;0.0000123541255080000000000;0.0000238551580210000000000;0.0000760112230863000000000;0.0000171739419980000000000;0.0000657237460745000000000;0.0000378349968380000000000;0.0000572970009938000000000;0.0000853484349594000000000;0.0000612200986211000000000;0.0000308740217614000000000;0.0000566878327535000000000;0.0000163952566210000000000;0.0000749479717262000000000;0.0000936333524031000000000;0.0000000096373857000000000;0.0000130742672579000000000;0.0000217270661973000000000;0.0000133899323363000000000;0.0000168961108683000000000;0.0000193050381238000000000;0.0000157407815576000000000;0.0000196066969165000000000;0.0000066781725898000000000;0.0000063279513662000000000;-0.0000000226908235000000000;-0.0000035696712203000000000;0.0000042744520603000000000
21;ldhp*vp;;;MJ2;;-0.0000304968690078000000000;-0.0000184872718232000000000;0.0000000554000364000000000;0.0000230092231722000000000;-0.0000603681915683000000000;-0.0000377514521379000000000;-0.0000531817399444000000000;-0.0000441296007641000000000;-0.0000490045097533000000000;0.0000065491212174000000000;-0.0000400945862326000000000;0.0000167043888161000000000;0.0000129816592204000000000;0.0000000791533716000000000;0.0000841253104075000000000;0.0000704736529949000000000;0.0000842658030999000000000;0.0000782445232381000000000;0.0000782752454161000000000;0.0001366570836867000000000;0.0000240601747787000000000;0.0000108186480420000000000;0.0000230120280930000000000;0.0000605850456892000000000;0.0000178635212007000000000;0.0000706460108904000000000;0.0000408288746979000000000;0.0000688320920971000000000;0.0000820082332501000000000;0.0000587478935301000000000;0.0000337831672813000000000;0.0000665981797298000000000;0.0000178537726089000000000;0.0000618332737774000000000;0.0000825329452470000000000;0.0000000127671815000000000;0.0000218449195534000000000;0.0000289166305761000000000;0.0000240646868572000000000;0.0000272313100871000000000;0.0000264810635050000000000;0.0000235629898702000000000;0.0000273651622149000000000;0.0000036279782365000000000;0.0000058389751826000000000;-0.0000000009751810000000000;-0.0000017635734562000000000;0.0000017101730465000000000
22;ldhp*vp;;;MS1;;0.0000295333591371000000000;-0.0000271291792573000000000;0.0000002709845571000000000;0.0000263050833041000000000;0.0000046337208875000000000;0.0000014333738518000000000;-0.0000009719853781000000000;0.0000024649587819000000000;0.0000008226563129000000000;-0.0000563055148061000000000;0.0000047648768953000000000;-0.0000000474951378000000000;-0.0000075996764169000000000;0.0000023104521192000000000;0.0000314900987532000000000;0.0000408362110298000000000;0.0000278315819005000000000;0.0000341567990186000000000;0.0000270413152448000000000;0.0000240601747787000000000;0.0001575980619247000000000;0.0000269502841782000000000;0.0000703765119026000000000;0.0000474514649777000000000;0.0000402086062139000000000;0.0000578571239184000000000;0.0000205121500512000000000;0.0000358086124866000000000;0.0000250008691424000000000;0.0000430600178775000000000;0.0000220208871017000000000;0.0000364938568163000000000;0.0000124065116689000000000;0.0000311015815553000000000;0.0000307871461114000000000;0.0000000322131137000000000;0.0000148005988106000000000;0.0000147214592981000000000;0.0000110775122922000000000;0.0000087621533766000000000;0.0000176720937861000000000;0.0000134860804042000000000;0.0000249519163170000000000;0.0000005491384122000000000;0.0000048211206262000000000;-0.0000000329935881000000000;-0.0000004711566894000000000;0.0000018269188913000000000
23;ldhp*vp;;;MS4;;-0.0000379045280314000000000;-0.0000142264510920000000000;-0.0000000178349174000000000;0.0000052816745435000000000;-0.0000657900370707000000000;-0.0000970970095221000000000;-0.0000595074551315000000000;-0.0000387285926430000000000;-0.0000332474323374000000000;-0.0000690321177109000000000;-0.0000120083808962000000000;-0.0000485838584663000000000;0.0000002676138486000000000;-0.0000221821771308000000000;-0.0000014114170369000000000;0.0000112205187639000000000;0.0000104466857890000000000;0.0000038440956743000000000;0.0000123541255080000000000;0.0000108186480420000000000;0.0000269502841782000000000;0.0044071670468893000000000;0.0000135984722553000000000;-0.0000012738013633000000000;-0.0000357443901719000000000;0.0000166472772792000000000;0.0000211285405542000000000;0.0000024531546305000000000;0.0000106201662985000000000;0.0000132759997062000000000;0.0000209969094364000000000;0.0000081508300387000000000;0.0000757775386341000000000;0.0000101744048819000000000;-0.0000021744934927000000000;-0.0000002407030076000000000;-0.0000153621870233000000000;-0.0000179650573486000000000;-0.0000127091137477000000000;-0.0000202124642356000000000;-0.0000165652950505000000000;-0.0000044316929780000000000;-0.0000159077812244000000000;-0.0000008900223631000000000;-0.0000138894681680000000000;0.0000001859595367000000000;-0.0000005549786540000000000;-0.0000024654015083000000000
